Month	TotAdvExp	NewPI	NewWC	AdvExp6
1	9221.55	7	26	*
2	6684	9	33	*
3	200	12	18	*
4	14546.75	27	15	*
5	5170.14	9	19	*
6	5810.3	13	26	*
7	5816.2	11	24	41.63274
8	8236.38	7	22	38.22739
9	-2089.55	13	12	39.77977
10	29282.24	7	15	37.49022
11	9193.58	9	21	52.22571
12	9499.18	8	24	56.24915
13	11128.76	18	25	59.93803
14	9057.64	9	19	65.25059
15	13604.54	25	12	66.07185
16	14411.76	26	33	81.76594
17	13724.28	27	32	66.89546
18	13419.42	12	21	71.42616
19	17372.33	14	18	75.3464
20	6296.35	5	25	81.58997
21	13191.59	22	12	78.82868
22	26798.8	15	7	78.41573
23	18610.95	12	22	90.80277
24	829.53	18	27	95.68944
25	16976.53	20	25	83.09955
26	14076.98	38	26	82.70375
27	24791.75	13	28	90.48438
28	9691.25	18	31	102.08454
29	28948.25	21	40	84.97699
30	21373.52	7	39	95.31429
31	9675.25	16	41	115.85828
32	33213.55	12	48	108.557
33	19859.85	15	28	127.69357
34	10475.25	18	29	122.76167
35	24790.84	30	20	123.54567
36	36660.94	12	27	119.38826
37	8812.5	30	26	134.67568
38	41817.75	20	45	133.81293
39	27399.33	19	30	142.41713
40	25723.1	29	33	149.95661
41	16312.1	58	24	165.20446
42	26332.78	42	40	156.72572
43	60207.58	24	36	146.39756
44	42485.39	47	29	197.79264
45	35601.92	24	17	198.46028
46	72071.5	14	13	206.66287
47	12797.11	31	15	253.01127
48	12310.5	26	16	249.49628
