SUBJECT	REL-ACC	UNR-ACC	REL-SPEED	UNR-SPEED	PAIR	ACCURACY	SPEED
1	95	92	1250	1346	RELATED	95	1250
2	93	93	1126	1244	RELATED	93	1126
3	94	87	1099	1171	RELATED	94	1099
4	91	89	1039	1195	RELATED	91	1039
5	87	85	1178	1200	RELATED	87	1178
6	94	92	1129	1189	RELATED	94	1129
7	91	89	1133	1266	RELATED	91	1133
8	87	87	1227	1189	RELATED	87	1227
9	88	86	1066	1201	RELATED	88	1066
10	89	96	1191	1202	RELATED	89	1191
11	91	95	1056	1275	RELATED	91	1056
12	92	90	917	1388	RELATED	92	917
13	87	87	1119	1170	RELATED	87	1119
14	85	87	756	1200	RELATED	85	756
15	86	85	1013	1070	RELATED	86	1013
16	98	94	1061	1302	RELATED	98	1061
17	85	87	1044	1405	RELATED	85	1044
18	92	90	1076	1134	RELATED	92	1076
19	94	97	1048	1192	RELATED	94	1048
20	91	89	1093	1121	RELATED	91	1093
1	*	*	*	*	UNRELATED	92	1346
2	*	*	*	*	UNRELATED	93	1244
3	*	*	*	*	UNRELATED	87	1171
4	*	*	*	*	UNRELATED	89	1195
5	*	*	*	*	UNRELATED	85	1200
6	*	*	*	*	UNRELATED	92	1189
7	*	*	*	*	UNRELATED	89	1266
8	*	*	*	*	UNRELATED	87	1189
9	*	*	*	*	UNRELATED	86	1201
10	*	*	*	*	UNRELATED	96	1202
11	*	*	*	*	UNRELATED	95	1275
12	*	*	*	*	UNRELATED	90	1388
13	*	*	*	*	UNRELATED	87	1170
14	*	*	*	*	UNRELATED	87	1200
15	*	*	*	*	UNRELATED	85	1070
16	*	*	*	*	UNRELATED	94	1302
17	*	*	*	*	UNRELATED	87	1405
18	*	*	*	*	UNRELATED	90	1134
19	*	*	*	*	UNRELATED	97	1192
20	*	*	*	*	UNRELATED	89	1121
