FOLIO	DOR_C	SITE_CITY	LAND	IMP	S_DATE	SALES	NBHC	NBHD	TOTVAL
45802016	100	TAMPA	55160	148453	7/25/2017	200000	208003	TOWN&CTY	203613
45802040	100	TAMPA	40215	125093	6/29/2017	225000	208003	TOWN&CTY	165308
45802052	100	TAMPA	36125	149806	4/28/2017	235000	208003	TOWN&CTY	185931
45802068	100	TAMPA	40215	128752	7/13/2017	250000	208003	TOWN&CTY	168967
48680000	100	TAMPA	37400	110503	12/15/2017	200000	208003	TOWN&CTY	147903
48930000	100	TAMPA	37489	136202	10/9/2017	210000	208003	TOWN&CTY	173691
48970000	100	TAMPA	32108	124508	4/19/2017	219900	208003	TOWN&CTY	156616
49480000	100	TAMPA	37400	119776	8/31/2017	243000	208003	TOWN&CTY	157176
50290000	100	TAMPA	41650	124888	5/30/2017	230000	208003	TOWN&CTY	166538
50320000	100	TAMPA	42837	127171	8/30/2017	201300	208003	TOWN&CTY	170008
50390000	100	TAMPA	40392	131190	12/8/2017	245000	208003	TOWN&CTY	171582
50490016	100	TAMPA	48450	132909	6/12/2017	235000	208003	TOWN&CTY	181359
50490050	100	TAMPA	51000	110365	8/16/2017	201000	208003	TOWN&CTY	161365
50490132	100	TAMPA	43732	149815	8/11/2017	265000	208003	TOWN&CTY	193547
70680000	100	TAMPA	29586	139957	8/31/2017	200000	208003	TOWN&CTY	169543
70970000	100	TAMPA	33482	239540	5/26/2017	349900	208003	TOWN&CTY	273022
70980000	100	TAMPA	29773	96310	1/20/2017	189900	208003	TOWN&CTY	126083
71300000	100	TAMPA	32151	108106	5/1/2017	170000	208003	TOWN&CTY	140257
71450000	100	TAMPA	31816	83718	10/27/2017	173000	208003	TOWN&CTY	115534
71540000	100	TAMPA	48691	148984	1/20/2017	215000	208003	TOWN&CTY	197675
71700000	100	TAMPA	31559	85622	9/29/2017	189900	208003	TOWN&CTY	117181
71950000	100	TAMPA	32211	102958	12/8/2017	212000	208003	TOWN&CTY	135169
72160000	100	TAMPA	32181	80086	10/19/2017	170000	208003	TOWN&CTY	112267
72220000	100	TAMPA	30657	95269	5/15/2017	135000	208003	TOWN&CTY	125926
72760000	100	TAMPA	29592	138161	5/5/2017	225000	208003	TOWN&CTY	167753
72830000	100	TAMPA	29592	146149	5/31/2017	215000	208003	TOWN&CTY	175741
72840000	100	TAMPA	28681	88116	8/8/2017	164900	208003	TOWN&CTY	116797
73010000	100	TAMPA	30206	107548	1/6/2017	155000	208003	TOWN&CTY	137754
73980000	100	TAMPA	28681	127101	2/24/2017	185000	208003	TOWN&CTY	155782
74150000	100	TAMPA	43863	89530	7/31/2017	179000	208003	TOWN&CTY	133393
74410000	100	TAMPA	31559	107316	6/15/2017	175000	208003	TOWN&CTY	138875
74480000	100	TAMPA	30952	135860	1/10/2017	230000	208003	TOWN&CTY	166812
74800000	100	TAMPA	37699	182626	3/30/2017	240000	208003	TOWN&CTY	220325
74860000	100	TAMPA	34134	138168	4/7/2017	191500	208003	TOWN&CTY	172302
74930000	100	TAMPA	33035	95782	11/2/2017	235000	208003	TOWN&CTY	128817
75440000	100	TAMPA	34272	109495	9/15/2017	224900	208003	TOWN&CTY	143767
75510000	100	TAMPA	39340	123447	1/24/2017	220000	208003	TOWN&CTY	162787
75710000	100	TAMPA	35003	109141	1/6/2017	150000	208003	TOWN&CTY	144144
75850000	100	TAMPA	35003	74358	7/31/2017	85000	208003	TOWN&CTY	109361
76000000	100	TAMPA	35496	138216	1/6/2017	203000	208003	TOWN&CTY	173712
76050000	100	TAMPA	42033	81114	11/27/2017	244900	208003	TOWN&CTY	123147
76400000	100	TAMPA	40266	122750	6/30/2017	230000	208003	TOWN&CTY	163016
76500000	100	TAMPA	37741	139558	11/21/2017	240000	208003	TOWN&CTY	177299
76710000	100	TAMPA	40317	160771	6/30/2017	249000	208003	TOWN&CTY	201088
77210000	100	TAMPA	36040	89607	9/28/2017	200000	208003	TOWN&CTY	125647
77470000	100	TAMPA	38709	112748	11/30/2017	239000	208003	TOWN&CTY	151457
77530000	100	TAMPA	38877	104066	10/17/2017	210000	208003	TOWN&CTY	142943
77560000	100	TAMPA	40644	123162	11/14/2017	215000	208003	TOWN&CTY	163806
77640000	100	TAMPA	33567	87762	3/10/2017	131000	208003	TOWN&CTY	121329
77930000	100	TAMPA	35190	136368	8/17/2017	230000	208003	TOWN&CTY	171558
77950000	100	TAMPA	33567	102199	3/1/2017	165000	208003	TOWN&CTY	135766
78020000	100	TAMPA	35190	88137	6/2/2017	180000	208003	TOWN&CTY	123327
78150000	100	TAMPA	39382	171478	9/26/2017	200000	208003	TOWN&CTY	210860
78180000	100	TAMPA	47858	111806	5/19/2017	150000	208003	TOWN&CTY	159664
78300000	100	TAMPA	40644	134570	6/7/2017	202000	208003	TOWN&CTY	175214
78630000	100	TAMPA	42171	125947	4/7/2017	198000	208003	TOWN&CTY	168118
78800000	100	TAMPA	39971	111744	4/28/2017	175000	208003	TOWN&CTY	151715
78970000	100	TAMPA	49085	143366	4/21/2017	225000	208003	TOWN&CTY	192451
79010000	100	TAMPA	53194	117886	9/28/2017	175000	208003	TOWN&CTY	171080
79100000	100	TAMPA	45080	117078	12/29/2017	189000	208003	TOWN&CTY	162158
79260000	100	TAMPA	39340	114779	1/27/2017	200000	208003	TOWN&CTY	154119
79470000	100	TAMPA	42900	156820	11/15/2017	126400	208003	TOWN&CTY	199720
79760000	100	TAMPA	40484	132030	5/25/2017	200000	208003	TOWN&CTY	172514
79950000	100	TAMPA	40484	118240	6/9/2017	200000	208003	TOWN&CTY	158724
79980000	100	TAMPA	44523	119105	8/11/2017	189900	208003	TOWN&CTY	163628
80040000	100	TAMPA	35062	106074	1/5/2018	169900	208003	TOWN&CTY	141136
80090000	100	TAMPA	39803	126437	8/18/2017	231000	208003	TOWN&CTY	166240
80490000	100	TAMPA	50674	129781	4/21/2017	234000	208003	TOWN&CTY	180455
80580000	100	TAMPA	37489	117305	10/23/2017	184000	208003	TOWN&CTY	154794
80605031	100	TAMPA	35700	122949	9/29/2017	206000	208003	TOWN&CTY	158649
88210000	100	TAMPA	33052	103055	8/28/2017	225000	208003	TOWN&CTY	136107
88220000	100	TAMPA	37400	165062	6/9/2017	235000	208003	TOWN&CTY	202462
88670000	100	TAMPA	41192	191064	3/7/2017	250000	208003	TOWN&CTY	232256
89120000	100	TAMPA	36040	84419	11/3/2017	215000	208003	TOWN&CTY	120459
89280000	100	TAMPA	35679	115589	1/9/2017	184500	208003	TOWN&CTY	151268
91450000	100	TAMPA	29733	81896	9/29/2017	185000	208001	TOWN&CTY	111629
92490416	100	TAMPA	30546	95385	11/30/2017	189900	208001	TOWN&CTY	125931
92490426	100	TAMPA	35212	82699	1/31/2017	145000	208001	TOWN&CTY	117911
92490434	100	TAMPA	36550	152357	8/25/2017	54200	208001	TOWN&CTY	188907
92490456	100	TAMPA	30546	87594	12/18/2017	160000	208001	TOWN&CTY	118140
92490680	100	TAMPA	38651	77765	10/27/2017	130000	208001	TOWN&CTY	116416
92490682	100	TAMPA	42432	127348	6/30/2017	215000	208001	TOWN&CTY	169780
92490802	100	TAMPA	30388	79171	5/15/2017	157000	208001	TOWN&CTY	109559
92490900	100	TAMPA	30388	123156	12/8/2017	205000	208001	TOWN&CTY	153544
92490912	100	TAMPA	31472	76619	5/12/2017	140000	208001	TOWN&CTY	108091
92600000	100	TAMPA	27944	75891	11/28/2017	120000	208001	TOWN&CTY	103835
92650000	100	TAMPA	27944	80496	5/23/2017	165000	208001	TOWN&CTY	108440
92810000	100	TAMPA	27043	65310	12/6/2017	100000	208001	TOWN&CTY	92353
92920000	100	TAMPA	27043	117212	5/30/2017	198000	208001	TOWN&CTY	144255
93000000	100	TAMPA	27043	75318	1/16/2018	175000	208001	TOWN&CTY	102361
93130000	100	TAMPA	27043	73995	3/3/2017	154900	208001	TOWN&CTY	101038
93180000	100	TAMPA	32398	82719	8/4/2017	191000	208001	TOWN&CTY	115117
93340000	100	TAMPA	26010	48813	3/31/2017	130000	208001	TOWN&CTY	74823
93380000	100	TAMPA	26010	71999	2/17/2017	135000	208001	TOWN&CTY	98009
93860000	100	TAMPA	26010	87033	10/6/2017	157000	208001	TOWN&CTY	113043
93890000	100	TAMPA	26010	70426	12/4/2017	150000	208001	TOWN&CTY	96436
94160000	100	TAMPA	26010	103120	11/3/2017	110000	208001	TOWN&CTY	129130
94190000	100	TAMPA	36433	97739	1/22/2018	220000	208001	TOWN&CTY	134172
94280000	100	TAMPA	27815	82655	7/24/2017	160000	208001	TOWN&CTY	110470
94300000	100	TAMPA	28073	96532	4/27/2017	144500	208001	TOWN&CTY	124605
94450000	100	TAMPA	27944	64504	2/21/2017	156000	208001	TOWN&CTY	92448
95450000	100	TAMPA	26179	66304	8/31/2017	108000	208001	TOWN&CTY	92483
95710000	100	TAMPA	29452	95344	9/19/2017	185000	208001	TOWN&CTY	124796
95920000	100	TAMPA	27622	79459	10/25/2017	120000	208001	TOWN&CTY	107081
95960000	100	TAMPA	27622	96201	3/24/2017	165000	208001	TOWN&CTY	123823
96440000	100	TAMPA	29325	100186	11/10/2017	100000	208001	TOWN&CTY	129511
96960000	100	TAMPA	26010	82558	7/20/2017	180900	208001	TOWN&CTY	108568
97010000	100	TAMPA	26184	102026	2/21/2017	167000	208001	TOWN&CTY	128210
97260000	100	TAMPA	29892	79967	5/26/2017	162300	208001	TOWN&CTY	109859
97620000	100	TAMPA	33736	83952	2/21/2017	148000	208001	TOWN&CTY	117688
97900000	100	TAMPA	30657	95852	5/31/2017	160000	208001	TOWN&CTY	126509
98220000	100	TAMPA	32545	96548	3/16/2017	154000	208001	TOWN&CTY	129093
98270000	100	TAMPA	38587	93351	5/18/2017	170000	208001	TOWN&CTY	131938
99270000	100	TAMPA	30281	153360	5/31/2017	185000	208001	TOWN&CTY	183641
99503012	100	TAMPA	31977	147874	4/14/2017	150000	208001	TOWN&CTY	179851
99550000	100	TAMPA	30345	76566	11/22/2017	170000	208001	TOWN&CTY	106911
99620000	100	TAMPA	30345	84141	3/29/2017	143000	208001	TOWN&CTY	114486
99690000	100	TAMPA	30345	96849	10/5/2017	179000	208001	TOWN&CTY	127194
99810000	100	TAMPA	47724	110416	12/27/2017	280000	208001	TOWN&CTY	158140
99900000	100	TAMPA	30345	82582	4/21/2017	140000	208001	TOWN&CTY	112927
100210000	100	TAMPA	69854	119039	2/23/2017	242200	208001	TOWN&CTY	188893
100240000	100	TAMPA	29325	68485	1/18/2018	127900	208001	TOWN&CTY	97810
100480000	100	TAMPA	26010	75693	7/28/2017	138000	208001	TOWN&CTY	101703
100650000	100	TAMPA	26010	79034	10/13/2017	145000	208001	TOWN&CTY	105044
100740000	100	TAMPA	26010	84642	2/15/2017	155000	208001	TOWN&CTY	110652
100770000	100	TAMPA	26010	104736	4/26/2017	170000	208001	TOWN&CTY	130746
100920000	100	TAMPA	26010	111689	4/27/2017	167000	208001	TOWN&CTY	137699
101060000	100	TAMPA	27901	87528	1/10/2017	165000	208001	TOWN&CTY	115429
101350000	100	TAMPA	34986	146984	2/6/2017	230000	208001	TOWN&CTY	181970
101380000	100	TAMPA	78951	164243	10/20/2017	314000	208001	TOWN&CTY	243194
101400000	100	TAMPA	38160	353603	9/1/2017	399900	208001	TOWN&CTY	391763
101520000	100	TAMPA	68815	110658	6/6/2017	175300	208001	TOWN&CTY	179473
101660000	100	TAMPA	68850	105629	8/14/2017	203000	208001	TOWN&CTY	174479
101925328	100	TAMPA	38842	318479	4/7/2017	420000	208001	TOWN&CTY	357321
113870000	100	TAMPA	26614	80687	3/1/2017	147000	208001	TOWN&CTY	107301
114050000	100	TAMPA	27043	75577	10/30/2017	175000	208001	TOWN&CTY	102620
114080000	100	TAMPA	27043	61686	9/29/2017	185000	208001	TOWN&CTY	88729
114140000	100	TAMPA	27043	97684	11/6/2017	204000	208001	TOWN&CTY	124727
114220000	100	TAMPA	38842	112302	3/17/2017	172000	208001	TOWN&CTY	151144
114710000	100	TAMPA	32604	88288	12/6/2017	125000	208001	TOWN&CTY	120892
114760000	100	TAMPA	27043	55970	12/20/2017	110000	208001	TOWN&CTY	83013
115340000	100	TAMPA	26614	78016	4/28/2017	154000	208001	TOWN&CTY	104630
115520000	100	TAMPA	26614	101347	4/27/2017	155500	208001	TOWN&CTY	127961
115640000	100	TAMPA	29325	72836	11/7/2017	116000	208001	TOWN&CTY	102161
115750000	100	TAMPA	27472	106230	7/26/2017	173000	208001	TOWN&CTY	133702
115760000	100	TAMPA	26614	89092	3/7/2017	153000	208001	TOWN&CTY	115706
116090000	100	TAMPA	27472	122567	10/31/2017	189000	208001	TOWN&CTY	150039
116220000	100	TAMPA	26614	87724	1/12/2018	182000	208001	TOWN&CTY	114338
116350000	100	TAMPA	27472	100116	7/26/2017	90000	208001	TOWN&CTY	127588
116640000	100	TAMPA	26614	65181	12/29/2017	160000	208001	TOWN&CTY	91795
116650000	100	TAMPA	27472	61609	4/27/2017	140000	208001	TOWN&CTY	89081
117210000	100	TAMPA	27043	84032	8/4/2017	130000	208001	TOWN&CTY	111075
117410000	100	TAMPA	28021	122161	2/28/2017	170000	208001	TOWN&CTY	150182
117520000	100	TAMPA	28475	107093	2/16/2017	175000	208001	TOWN&CTY	135568
117710000	100	TAMPA	28475	75179	10/31/2017	204900	208001	TOWN&CTY	103654
118120000	100	TAMPA	28475	93089	9/26/2017	147000	208001	TOWN&CTY	121564
118130000	100	TAMPA	28475	107212	4/3/2017	182500	208001	TOWN&CTY	135687
118360000	100	TAMPA	27043	114472	5/31/2017	185000	208001	TOWN&CTY	141515
118760000	100	TAMPA	26010	64810	6/12/2017	125000	208001	TOWN&CTY	90820
118980000	100	TAMPA	32061	106461	8/30/2017	174000	208001	TOWN&CTY	138522
119060000	100	TAMPA	32818	91358	4/21/2017	160000	208001	TOWN&CTY	124176
129295758	100	LUTZ	95691	261888	10/2/2017	412000	215014	CHEVAL	357579
129295812	100	LUTZ	68095	185942	9/6/2017	383500	215014	CHEVAL	254037
129295820	100	LUTZ	55440	174062	3/27/2017	324500	215014	CHEVAL	229502
129295832	100	LUTZ	55440	162331	4/21/2017	283000	215014	CHEVAL	217771
129295836	100	LUTZ	58262	147425	8/18/2017	265000	215014	CHEVAL	205687
129453012	100	LUTZ	99590	288398	6/8/2017	490000	215014	CHEVAL	387988
129453016	100	LUTZ	105792	309526	4/17/2017	575000	215014	CHEVAL	415318
129453100	100	LUTZ	127443	299430	5/31/2017	508500	215014	CHEVAL	426873
129453138	100	LUTZ	97373	284669	8/9/2017	542000	215014	CHEVAL	382042
129453308	100	LUTZ	76440	208811	11/7/2017	400000	215014	CHEVAL	285251
129453358	100	LUTZ	105478	207967	1/16/2018	365000	215014	CHEVAL	313445
129453376	100	LUTZ	80651	218293	12/4/2017	440000	215014	CHEVAL	298944
129453406	100	LUTZ	69000	219050	8/25/2017	410000	215014	CHEVAL	288050
129453408	100	LUTZ	69000	254688	4/19/2017	426000	215014	CHEVAL	323688
129453450	100	LUTZ	84390	225752	11/2/2017	372500	215014	CHEVAL	310142
129453478	100	LUTZ	82621	202923	3/20/2017	350000	215014	CHEVAL	285544
129453492	100	LUTZ	128149	263623	2/28/2017	446500	215014	CHEVAL	391772
129453556	100	LUTZ	55814	285046	3/13/2017	440000	215014	CHEVAL	340860
129453566	100	LUTZ	60794	212722	8/18/2017	440000	215014	CHEVAL	273516
129453570	100	LUTZ	59535	191807	8/28/2017	372000	215014	CHEVAL	251342
129453594	100	LUTZ	55373	212722	8/4/2017	437000	215014	CHEVAL	268095
129453600	100	LUTZ	80125	253438	12/14/2017	465000	215014	CHEVAL	333563
129453754	100	LUTZ	41976	140847	5/30/2017	255000	215014	CHEVAL	182823
129453758	100	LUTZ	48023	168268	8/17/2017	272000	215014	CHEVAL	216291
129453804	100	LUTZ	68440	157262	12/15/2017	268000	215014	CHEVAL	225702
129453834	100	LUTZ	54730	166268	2/10/2017	292000	215014	CHEVAL	220998
129453928	100	LUTZ	70575	214293	2/3/2017	353000	215014	CHEVAL	284868
129453944	100	LUTZ	56304	207644	6/16/2017	355000	215014	CHEVAL	263948
129453960	100	LUTZ	55440	208810	8/23/2017	430000	215014	CHEVAL	264250
129453978	100	LUTZ	59904	207644	8/15/2017	367000	215014	CHEVAL	267548
129454138	100	LUTZ	96798	248559	6/30/2017	399900	215014	CHEVAL	345357
129454150	100	LUTZ	85065	261108	1/11/2018	415000	215014	CHEVAL	346173
129454156	100	LUTZ	112382	274437	12/28/2017	424500	215014	CHEVAL	386819
129454198	100	LUTZ	77616	309835	6/26/2017	515000	215014	CHEVAL	387451
129454304	100	LUTZ	71482	145952	2/28/2017	294000	215014	CHEVAL	217434
129454318	100	LUTZ	71795	142961	3/30/2017	260000	215014	CHEVAL	214756
129454322	100	LUTZ	69034	145305	8/31/2017	289000	215014	CHEVAL	214339
129454350	100	LUTZ	96445	143094	11/6/2017	306000	215014	CHEVAL	239539
129454388	100	LUTZ	58344	148420	4/26/2017	202000	215014	CHEVAL	206764
129454462	100	LUTZ	46200	145583	9/14/2017	245000	215014	CHEVAL	191783
129454522	100	LUTZ	70502	198357	10/31/2017	385000	215014	CHEVAL	268859
129454542	100	LUTZ	74252	211306	9/18/2017	423000	215014	CHEVAL	285558
129454554	100	LUTZ	62542	222974	6/30/2017	430000	215014	CHEVAL	285516
129454560	100	LUTZ	67565	201549	7/28/2017	320000	215014	CHEVAL	269114
129454752	100	LUTZ	47792	176352	4/14/2017	285000	215014	CHEVAL	224144
129790530	100	LUTZ	57487	345764	6/16/2017	529500	215016	CHEVAL	403251
129790542	100	LUTZ	85129	258510	7/19/2017	445000	215016	CHEVAL	343639
129790550	100	LUTZ	59725	205144	4/12/2017	335000	215016	CHEVAL	264869
129790552	100	LUTZ	61129	173263	7/31/2017	260000	215016	CHEVAL	234392
129790640	100	LUTZ	59518	236388	10/30/2017	350000	215016	CHEVAL	295906
129790664	100	LUTZ	62168	233418	2/24/2017	315800	215016	CHEVAL	295586
129790702	100	LUTZ	240748	718720	3/31/2017	1275000	215017	CHEVAL	959468
129790718	100	LUTZ	266112	470788	12/29/2017	975000	215017	CHEVAL	736900
129790762	100	LUTZ	186921	372648	4/3/2017	567500	215016	CHEVAL	559569
129790824	100	LUTZ	152178	378055	3/16/2017	660000	215016	CHEVAL	530233
129790840	100	LUTZ	165710	358439	2/23/2017	530000	215016	CHEVAL	524149
129790868	100	LUTZ	129367	360519	2/3/2017	664000	215016	CHEVAL	489886
129790878	100	LUTZ	124661	537378	12/4/2017	650000	215016	CHEVAL	662039
129790884	100	LUTZ	157477	403668	7/12/2017	690000	215016	CHEVAL	561145
129795024	100	LUTZ	78150	219512	9/23/2017	307500	215014	CHEVAL	297662
129795030	100	LUTZ	59854	227139	1/8/2018	357500	215014	CHEVAL	286993
129795046	100	LUTZ	65125	223906	5/24/2017	330000	215014	CHEVAL	289031
129795070	100	LUTZ	44864	289702	7/31/2017	450000	215014	CHEVAL	334566
129795164	100	LUTZ	60600	273660	6/1/2017	458000	215014	CHEVAL	334260
129795202	100	LUTZ	100833	484098	3/29/2017	550000	215014	CHEVAL	584931
129795208	100	LUTZ	119278	455674	4/4/2017	585000	215014	CHEVAL	574952
129795268	100	LUTZ	98220	418136	4/18/2017	620000	215014	CHEVAL	516356
129795272	100	LUTZ	95962	517564	5/8/2017	660000	215014	CHEVAL	613526
129795306	100	LUTZ	253406	710140	5/22/2017	1092000	215014	CHEVAL	963546
129795334	100	LUTZ	172696	543672	6/8/2017	970000	215014	CHEVAL	716368
129795408	100	LUTZ	134103	447250	7/6/2017	830000	215014	CHEVAL	581353
129795514	100	LUTZ	94063	406919	8/30/2017	640000	215017	CHEVAL	500982
