PRICPTM	DISTANCE	WEIGHT	PCTLOAD	ORIGIN	MARKET	DEREG	CARRIER	PRODUCT	LNPRICE
31343.84	3.6	3	12.5	MIA	LARGE	YES	A	100	10.35277304
225675.68	0.25	0.75	3.1	MIA	LARGE	YES	A	100	12.3268542
172972.97	0.25	3	12.5	MIA	LARGE	YES	A	100	12.06089062
47167.36	2.6	0.25	1	MIA	LARGE	YES	A	100	10.76145741
30795.22	2.6	15	62.5	MIA	LARGE	YES	A	100	10.33511476
51126.13	1.5	3	12.5	MIA	SMALL	YES	A	100	10.842051
22346.57	4.8	15	62.5	MIA	LARGE	YES	A	100	10.01442812
37725.23	1.8	15	62.5	MIA	SMALL	YES	A	100	10.53808438
26331.48	3.4	7.5	31.3	JAX	LARGE	YES	A	100	10.17852046
22356.92	3.4	24	100	JAX	LARGE	YES	A	100	10.01489117
28322.07	3	7.5	31.3	JAX	SMALL	YES	A	100	10.25139664
28322.07	3	15	62.5	JAX	SMALL	YES	A	100	10.25139664
63493.64	1.7	0.25	1	JAX	LARGE	YES	A	100	11.05869502
38100.6	3.6	0.25	1	JAX	LARGE	YES	A	100	10.54798531
37772.15	3.6	0.75	3.1	JAX	LARGE	YES	A	100	10.53932734
31343.84	3.6	3	12.5	JAX	LARGE	YES	A	100	10.35277304
25713.21	3.6	7.5	31.3	JAX	LARGE	YES	A	100	10.15476015
32461.81	2.3	7.5	31.3	JAX	SMALL	YES	A	100	10.3878196
34588.16	2.1	7.5	31.3	JAX	LARGE	YES	A	100	10.45126671
55274.02	3.6	0.25	1	MIA	LARGE	YES	A	150	10.92005828
38663.66	3.6	7.5	31.3	MIA	LARGE	YES	A	150	10.56265542
38663.66	3.6	15	62.5	MIA	LARGE	YES	A	150	10.56265542
32610.74	3.6	24	100	MIA	LARGE	YES	A	150	10.39239696
260135.14	0.25	3	12.5	MIA	LARGE	YES	A	150	12.46895654
67437.63	2.6	0.25	1	MIA	LARGE	YES	A	150	11.11895845
46127.86	2.6	7.5	31.3	MIA	LARGE	YES	A	150	10.73917238
46127.86	2.6	15	62.5	MIA	LARGE	YES	A	150	10.73917238
63063.06	1.5	15	62.5	MIA	SMALL	YES	A	150	11.05189046
52927.93	1.5	24	100	MIA	SMALL	YES	A	150	10.87668646
47086.15	4.8	0.25	1	MIA	LARGE	YES	A	150	10.75973418
47086.15	4.8	0.75	3.1	MIA	LARGE	YES	A	150	10.75973418
28258.73	4.8	24	100	MIA	LARGE	YES	A	150	10.24915772
25000	6	24	100	MIA	SMALL	YES	A	150	10.1266311
56306.31	1.8	7.5	31.3	MIA	SMALL	YES	A	150	10.93856189
57432.43	3.4	0.25	1	JAX	LARGE	YES	A	150	10.95836441
61768.02	3	0.25	1	JAX	SMALL	YES	A	150	11.03114103
85949.92	1.7	0.75	3.1	JAX	LARGE	YES	A	150	11.36152008
61768.02	3	0.25	1	JAX	SMALL	YES	A	150	11.03114103
60304.05	3	0.75	3.1	JAX	SMALL	YES	A	150	11.00715454
42342.34	3	7.5	31.3	JAX	SMALL	YES	A	150	10.65354281
73002.35	2.3	0.25	1	JAX	SMALL	YES	A	150	11.19824691
59635.72	2.3	3	12.5	JAX	SMALL	YES	A	150	10.99601
48913.04	2.3	15	62.5	JAX	SMALL	YES	A	150	10.79779931
77220.08	2.1	0.25	1	JAX	LARGE	YES	A	150	11.25441481
74887.39	2.1	0.75	3.1	JAX	LARGE	YES	A	150	11.2237408
51801.8	2.1	15	62.5	JAX	LARGE	YES	A	150	10.85518018
347972.97	0.25	3	12.5	MIA	LARGE	YES	A	200	12.75988008
87772.87	2.6	0.25	1	MIA	LARGE	YES	A	200	11.38250773
125000	1.5	0.25	1	MIA	SMALL	YES	A	200	11.73606902
44657.94	4.8	15	62.5	MIA	LARGE	YES	A	200	10.7067874
37690.03	4.8	24	100	MIA	LARGE	YES	A	200	10.53715088
107169.67	1.8	0.75	3.1	MIA	SMALL	YES	A	200	11.58216856
74821.14	3.4	0.25	1	JAX	LARGE	YES	A	200	11.22285574
74274.64	3.4	0.75	3.1	JAX	LARGE	YES	A	200	11.21552485
64437.6	3.4	3	12.5	JAX	LARGE	YES	A	200	11.07345259
53010.73	3.4	15	62.5	JAX	LARGE	YES	A	200	10.87824962
44763.51	3.4	24	100	JAX	LARGE	YES	A	200	10.70914858
47578.83	3	24	100	JAX	SMALL	YES	A	200	10.77014319
111784.58	1.7	0.75	3.1	JAX	LARGE	YES	A	200	11.62432891
65878.38	1.7	24	100	JAX	LARGE	YES	A	200	11.09556559
71837.46	3.6	0.75	3.1	JAX	LARGE	YES	A	200	11.18216135
62828.45	3.6	3	12.5	JAX	LARGE	YES	A	200	11.04816328
51567.19	3.6	15	62.5	JAX	LARGE	YES	A	200	10.8506409
56362.61	3	15	62.5	JAX	SMALL	YES	A	200	10.93956127
79759.11	2.3	3	12.5	JAX	SMALL	YES	A	200	11.28676625
55376.03	2.3	24	100	JAX	SMALL	YES	A	200	10.92190211
19941.82	3.6	7.5	32.6	MIA	LARGE	YES	B	100	9.900574313
112162.16	0.25	7.5	32.6	MIA	LARGE	YES	B	100	11.62770096
72972.97	0.25	15	65.2	MIA	LARGE	YES	B	100	11.19784438
41891.89	0.25	24	100	MIA	LARGE	YES	B	100	10.64284753
23518.71	2.6	7.5	32.6	MIA	LARGE	YES	B	100	10.06555155
58220.72	1.5	0.25	1.1	MIA	SMALL	YES	B	100	10.97199658
25724.94	4.8	0.25	1.1	MIA	LARGE	YES	B	100	10.15521623
17103.04	4.8	7.5	32.6	MIA	LARGE	YES	B	100	9.747011504
5884.01	6	24	100	MIA	SMALL	YES	B	100	8.679993781
35078.83	3	0.25	1.1	JAX	SMALL	YES	B	100	10.46535309
33671.17	3	0.75	3.3	JAX	SMALL	YES	B	100	10.42439726
26407.66	3	3	13	JAX	SMALL	YES	B	100	10.1814094
21734.23	3	7.5	32.6	JAX	SMALL	YES	B	100	9.986643716
8389.64	3	24	100	JAX	SMALL	YES	B	100	9.03475289
37062.8	1.7	3	13	JAX	LARGE	YES	B	100	10.52036905
11327.5	1.7	24	100	JAX	LARGE	YES	B	100	9.334988677
25117.51	2.3	7.5	32.6	JAX	SMALL	YES	B	100	10.13132049
41988.42	2.1	0.75	3.3	JAX	LARGE	YES	B	100	10.64514914
32416.34	2.1	3	13	JAX	LARGE	YES	B	100	10.3864179
7789.04	3.6	24	100	MIA	LARGE	YES	B	150	8.960472896
215540.54	0.25	0.25	1.1	MIA	LARGE	YES	B	150	12.28090429
112162.16	0.25	7.5	32.6	MIA	LARGE	YES	B	150	11.62770096
72972.97	0.25	15	65.2	MIA	LARGE	YES	B	150	11.19784438
15462.58	2.6	15	65.2	MIA	LARGE	YES	B	150	9.64617819
9160.6	2.6	24	100	MIA	LARGE	YES	B	150	9.122666958
52702.7	1.5	0.75	3.3	MIA	SMALL	YES	B	150	10.87242197
40090.09	1.5	3	13	MIA	SMALL	YES	B	150	10.59888445
21009.29	4.8	3	13	MIA	LARGE	YES	B	150	9.95272
17103.04	4.8	7.5	32.6	MIA	LARGE	YES	B	150	9.747011504
15540.54	6	7.5	32.6	MIA	SMALL	YES	B	150	9.651207372
11852.48	6	15	65.2	MIA	SMALL	YES	B	150	9.380292407
50394.14	1.8	0.25	1.1	MIA	SMALL	YES	B	150	10.82763018
35566.82	1.8	3	13	MIA	SMALL	YES	B	150	10.47916846
32343	3.4	0.25	1.1	JAX	LARGE	YES	B	150	10.38415289
