Country	Pop	GDP	GDP%	Open	HDev	ECFree	PolR	CLib	Corrupt
Algeria	39	14193.4	1.8	62.5	0.736	5.2	6	5	36
Morocco	34	7490.7	1	80.9	0.628	6.46	5	4	39
Ghana	26.8	4081.7	1.6	88.5	0.579	6.2	1	2	48
Nigeria	177.5	5911.2	3.5	31	0.514	6.44	4	5	27
Cameroon	22.8	2972.2	3.3	52.9	0.512	6.34	6	6	27
Chad	13.6	2182	3.8	76.6	0.392	5.13	7	6	22
Ethiopia	97	1499.8	7.5	40.7	0.442	5.68	6	6	33
Kenya	44.9	2954.1	2.6	50.3	0.548	7.16	4	4	25
Angola	24.2	7227.4	0.6	101	0.532	5.37	6	5	19
SouthAfr	54	13046.2	-0.1	64.4	0.666	6.74	2	2	44
China	1364.3	13206.4	6.5	41.5	0.727	6.44	7	6	36
Germany	80.9	45802.1	1.3	84.7	0.916	7.5	1	1	79
US	318.9	54629.5	1.6	30	0.915	7.73	1	1	74
