Ban/Others	Ban/No	No/Others	No/No	MVL	X1	X2	X3
9.83	8.41	6.71	6.38	9.83	1	0	0
7.81	8.1	6.59	6.29	7.81	1	0	0
8.32	8.13	6.6	5.55	8.32	1	0	0
8.38	9.39	6.31	6.5	8.38	1	0	0
13.6	9.8	6.33	6.07	13.6	1	0	0
9.25	9.33	6.72	6.47	9.25	1	0	0
9.57	8.37	6.7	7.3	9.57	1	0	0
9.18	9.5	6.72	6.38	9.18	1	0	0
8.16	8.4	8.15	7.03	8.16	1	0	0
9.25	8.3	6.21	6.9	9.25	1	0	0
8.49	9	6.84	6.61	8.49	1	0	0
7.37	8.43	6.52	6.37	7.37	1	0	0
8.66	10.09	6.5	6.13	8.66	1	0	0
8.01	8.75	6.58	6.89	8.01	1	0	0
8.69	9.18	6.72	6.22	8.69	1	0	0
6.93	8.54	7	7.11	6.93	1	0	0
8.83	8.75	6.35	6.09	8.83	1	0	0
7.68	10.15	6.13	6.16	7.68	1	0	0
9.88	8.74	6.83	6.41	9.88	1	0	0
8.77	8.89	6.33	5.84	8.77	1	0	0
7.8	7.69	6.39	5.75	7.8	1	0	0
8.77	8.35	6.55	6.11	8.77	1	0	0
9.46	8.54	6.73	6.88	9.46	1	0	0
7.87	7.91	6.66	5.86	7.87	1	0	0
7.58	9.34	6.72	6.75	7.58	1	0	0
7.25	8.61	6.53	6.44	7.25	1	0	0
9.17	6.2	6.57	6.58	9.17	1	0	0
9.7	7.45	6.62	5.89	9.7	1	0	0
8.03	7.98		6.73	8.03	1	0	0
9.11	6.62		6.74	9.11	1	0	0
8.76	9.61		6.6	8.76	1	0	0
8.16	9.06		5.76	8.16	1	0	0
8.65	7.71		5.69	8.65	1	0	0
8.43	7.93		5.93	8.43	1	0	0
9.6	7.03		6.3	9.6	1	0	0
7.68	9.63		6.3	7.68	1	0	0
9.01	7.37		6.06	9.01	1	0	0
7.26	9.88		6.38	7.26	1	0	0
8.59	8.19		6.67	8.59	1	0	0
7.9			6.29	7.9	1	0	0
8.38			6.71	8.38	1	0	0
8.61			5.99	8.61	1	0	0
8.69			6.44	8.69	1	0	0
7.27			6.34	7.27	1	0	0
8.32			6.82	8.32	1	0	0
8.83			6.55	8.83	1	0	0
9.32			5.65	9.32	1	0	0
8.51			6.73	8.51	1	0	0
5.86			6.6	5.86	1	0	0
8.4			6.33	8.4	1	0	0
7.79			6.45	7.79	1	0	0
7.92			6.12	7.92	1	0	0
8.01			6.75	8.01	1	0	0
9.04			6.55	9.04	1	0	0
7.87			6.26	7.87	1	0	0
				8.41	0	1	0
				8.1	0	1	0
				8.13	0	1	0
				9.39	0	1	0
				9.8	0	1	0
				9.33	0	1	0
				8.37	0	1	0
				9.5	0	1	0
				8.4	0	1	0
				8.3	0	1	0
				9	0	1	0
				8.43	0	1	0
				10.09	0	1	0
				8.75	0	1	0
				9.18	0	1	0
				8.54	0	1	0
				8.75	0	1	0
				10.15	0	1	0
				8.74	0	1	0
				8.89	0	1	0
				7.69	0	1	0
				8.35	0	1	0
				8.54	0	1	0
				7.91	0	1	0
				9.34	0	1	0
				8.61	0	1	0
				6.2	0	1	0
				7.45	0	1	0
				7.98	0	1	0
				6.62	0	1	0
				9.61	0	1	0
				9.06	0	1	0
				7.71	0	1	0
				7.93	0	1	0
				7.03	0	1	0
				9.63	0	1	0
				7.37	0	1	0
				9.88	0	1	0
				8.19	0	1	0
				6.71	0	0	1
				6.59	0	0	1
				6.6	0	0	1
				6.31	0	0	1
				6.33	0	0	1
				6.72	0	0	1
				6.7	0	0	1
				6.72	0	0	1
				8.15	0	0	1
				6.21	0	0	1
				6.84	0	0	1
				6.52	0	0	1
				6.5	0	0	1
				6.58	0	0	1
				6.72	0	0	1
				7	0	0	1
				6.35	0	0	1
				6.13	0	0	1
				6.83	0	0	1
				6.33	0	0	1
				6.39	0	0	1
				6.55	0	0	1
				6.73	0	0	1
				6.66	0	0	1
				6.72	0	0	1
				6.53	0	0	1
				6.57	0	0	1
				6.62	0	0	1
				6.38	0	0	0
				6.29	0	0	0
				5.55	0	0	0
				6.5	0	0	0
				6.07	0	0	0
				6.47	0	0	0
				7.3	0	0	0
				6.38	0	0	0
				7.03	0	0	0
				6.9	0	0	0
				6.61	0	0	0
				6.37	0	0	0
				6.13	0	0	0
				6.89	0	0	0
				6.22	0	0	0
				7.11	0	0	0
				6.09	0	0	0
				6.16	0	0	0
				6.41	0	0	0
				5.84	0	0	0
				5.75	0	0	0
				6.11	0	0	0
				6.88	0	0	0
				5.86	0	0	0
				6.75	0	0	0
				6.44	0	0	0
				6.58	0	0	0
				5.89	0	0	0
				6.73	0	0	0
				6.74	0	0	0
				6.6	0	0	0
				5.76	0	0	0
				5.69	0	0	0
				5.93	0	0	0
				6.3	0	0	0
				6.3	0	0	0
				6.06	0	0	0
				6.38	0	0	0
				6.67	0	0	0
				6.29	0	0	0
				6.71	0	0	0
				5.99	0	0	0
				6.44	0	0	0
				6.34	0	0	0
				6.82	0	0	0
				6.55	0	0	0
				5.65	0	0	0
				6.73	0	0	0
				6.6	0	0	0
				6.33	0	0	0
				6.45	0	0	0
				6.12	0	0	0
				6.75	0	0	0
				6.55	0	0	0
				6.26	0	0	0
