Man-HRs	Capacity	Pressure	Boiler	Drum	C-P
3137	120	375	1	1	45000
3590	65	750	1	1	48750
4526	150	500	1	1	75000
10825	1073.8	2170	0	1	2330146
4023	150	325	1	1	48750
7606	610	1500	0	1	915000
3748	88.2	399	1	1	35191.8
2972	88.2	399	1	1	35191.8
3163	88.2	399	1	1	35191.8
4065	90	1140	1	1	102600
2048	30	325	1	1	9750
6500	441	410	1	1	180810
5651	441	410	1	1	180810
6565	441	410	1	1	180810
6387	441	410	1	1	180810
6454	627	1525	0	1	956175
6928	610	1500	0	1	915000
4268	150	500	1	1	75000
14791	1089.5	2170	0	1	2364215
2680	125	750	1	1	93750
2974	120	375	1	0	45000
1965	65	750	1	0	48750
2566	150	500	1	0	75000
1515	150	250	1	0	37500
2000	150	500	1	0	75000
2735	150	325	1	0	48750
3698	610	1500	0	0	915000
2635	90	1140	1	0	102600
1206	30	325	1	0	9750
3775	441	410	1	0	180810
3120	441	410	1	0	180810
4206	441	410	1	0	180810
4006	441	410	1	0	180810
3728	627	1525	0	0	956175
3211	610	1500	0	0	915000
1200	30	325	1	0	9750
