BOXER	INTRVNT	POWER	BOXER_1	BOXER_2	BOXER_3	BOXER_4	BOXER_5	BOXER_6	BOXER_7	BOXER_8	INTRVNT_M1	INTRVNT_M5	INTRVNT_R1	INTRVNT_R5
1	M1	1243	1	0	0	0	0	0	0	0	1	0	0	0
2	M1	1147	0	1	0	0	0	0	0	0	1	0	0	0
3	M1	1247	0	0	1	0	0	0	0	0	1	0	0	0
4	M1	1274	0	0	0	1	0	0	0	0	1	0	0	0
5	M1	1177	0	0	0	0	1	0	0	0	1	0	0	0
6	M1	1336	0	0	0	0	0	1	0	0	1	0	0	0
7	M1	1238	0	0	0	0	0	0	1	0	1	0	0	0
8	M1	1261	0	0	0	0	0	0	0	1	1	0	0	0
1	R1	1244	1	0	0	0	0	0	0	0	0	0	1	0
2	R1	1053	0	1	0	0	0	0	0	0	0	0	1	0
3	R1	1375	0	0	1	0	0	0	0	0	0	0	1	0
4	R1	1235	0	0	0	1	0	0	0	0	0	0	1	0
5	R1	1139	0	0	0	0	1	0	0	0	0	0	1	0
6	R1	1313	0	0	0	0	0	1	0	0	0	0	1	0
7	R1	1279	0	0	0	0	0	0	1	0	0	0	1	0
8	R1	1152	0	0	0	0	0	0	0	1	0	0	1	0
1	M5	1291	1	0	0	0	0	0	0	0	0	1	0	0
2	M5	1169	0	1	0	0	0	0	0	0	0	1	0	0
3	M5	1309	0	0	1	0	0	0	0	0	0	1	0	0
4	M5	1290	0	0	0	1	0	0	0	0	0	1	0	0
5	M5	1233	0	0	0	0	1	0	0	0	0	1	0	0
6	M5	1366	0	0	0	0	0	1	0	0	0	1	0	0
7	M5	1275	0	0	0	0	0	0	1	0	0	1	0	0
8	M5	1289	0	0	0	0	0	0	0	1	0	1	0	0
1	R5	1262	1	0	0	0	0	0	0	0	0	0	0	1
2	R5	1177	0	1	0	0	0	0	0	0	0	0	0	1
3	R5	1321	0	0	1	0	0	0	0	0	0	0	0	1
4	R5	1285	0	0	0	1	0	0	0	0	0	0	0	1
5	R5	1238	0	0	0	0	1	0	0	0	0	0	0	1
6	R5	1362	0	0	0	0	0	1	0	0	0	0	0	1
7	R5	1261	0	0	0	0	0	0	1	0	0	0	0	1
8	R5	1266	0	0	0	0	0	0	0	1	0	0	0	1
