Label	MassFlux	HeatFlux	Diameter	Density
P4-145	406	0.15	0.64	13102.82
P4-148	406	0.29	1.02	29117.38
P4-149	406	0.37	1.15	123020.9
P4-150	406	0.62	1.26	165969.1
P4-151	406	0.86	0.91	254777.1
P4-152	406	1	0.68	347952.7
P4-130	811	0.15	0.58	7279.34
P4-131	811	0.29	0.98	22565.97
P4-132	811	0.37	1.02	106278.4
P4-135	811	0.62	1.17	145586.9
P4-138	811	0.86	0.86	224203.8
P4-139	811	1	0.59	321019.1
P4-156	1217	0.15	0.49	5095.54
P4-159	1217	0.29	0.8	18926.3
P4-160	1217	0.37	0.93	90991.81
P4-162	1217	0.62	1.06	112101.9
P4-163	1217	0.86	0.81	192902.6
P4-164	1217	1	0.43	232211.1
