STATE	NumberSD	SDArea
ALABAMA	1899	432.70933
ALASKA	155	60.91567
ARIZONA	181	110.56504
ARKANSAS	997	347.34609
CALIFORNIA	3140	5177.97341
COLORADO	580	316.91911
CONNECTICUT	358	387.77728
DELAWARE	20	9.0502
DIST. OF COL.	24	59.33725
FLORIDA	302	412.92467
GEORGIA	1028	344.85677
HAWAII	142	39.7973
IDAHO	349	135.43086
ILLINOIS	2501	1192.43249
INDIANA	2030	688.18876
IOWA	5153	1069.70793
KANSAS	2991	527.47189
KENTUCKY	1362	458.37019
LOUISIANA	1780	1453.25726
MAINE	349	131.13056
MARYLAND	388	236.17752
MASSACHUSETTS	585	521.82948
MICHIGAN	1584	804.1532
MINNESOTA	1156	325.8995
MISSISSIPPI	3002	692.74511
MISSOURI	4433	1187.41953
MONTANA	473	90.93879
NEBRASKA	2382	335.74534
NEVADA	47	20.07514
NEW HAMPSHIRE	383	127.65868
NEW JERSEY	750	752.4331
NEW MEXICO	404	196.67098
NEW YORK	2128	1427.73194
NORTH CAROLINA	2272	1034.61364
NORTH DAKOTA	743	101.41655
OHIO	2862	965.16104
OKLAHOMA	5793	1423.25484
OREGON	514	393.95858
PENNSYLVANIA	5802	2404.61264
RHODE ISLAND	164	237.95822
SOUTH CAROLINA	1260	626.38096
SOUTH DAKOTA	1216	209.32735
TENNESSEE	1325	481.30847
TEXAS	2186	1031.44922
UTAH	233	102.5575
VERMONT	500	153.80469
VIRGINIA	1208	483.684
WASHINGTON	400	502.03048
WEST VIRGINIA	1058	331.59055
WISCONSIN	1302	399.80163
WYOMING	389	143.45605
PUERTO RICO	241	195.4268
