LOAD	NAME	NUMBER	LOAD_High	NAME_Ambig	LOAD_NAME
Low	Ambig	24	0	1	0
Low	Ambig	28	0	1	0
Low	Ambig	17	0	1	0
Low	Ambig	18	0	1	0
Low	Ambig	24	0	1	0
Low	Ambig	15	0	1	0
Low	Ambig	24	0	1	0
Low	Ambig	22	0	1	0
Low	Ambig	12	0	1	0
Low	Ambig	22	0	1	0
Low	Ambig	21	0	1	0
Low	Ambig	19	0	1	0
Low	Ambig	22	0	1	0
Low	Ambig	13	0	1	0
Low	Ambig	24	0	1	0
Low	Ambig	17	0	1	0
Low	Ambig	13	0	1	0
Low	Ambig	12	0	1	0
Low	Ambig	15	0	1	0
Low	Ambig	20	0	1	0
Low	Ambig	20	0	1	0
Low	Ambig	16	0	1	0
Low	Ambig	9	0	1	0
Low	Ambig	12	0	1	0
Low	Ambig	11	0	1	0
Low	Common	10	0	0	0
Low	Common	10	0	0	0
Low	Common	11	0	0	0
Low	Common	9	0	0	0
Low	Common	8	0	0	0
Low	Common	7	0	0	0
Low	Common	7	0	0	0
Low	Common	6	0	0	0
Low	Common	5	0	0	0
Low	Common	10	0	0	0
Low	Common	8	0	0	0
Low	Common	9	0	0	0
Low	Common	7	0	0	0
Low	Common	9	0	0	0
Low	Common	5	0	0	0
Low	Common	8	0	0	0
Low	Common	7	0	0	0
Low	Common	12	0	0	0
Low	Common	7	0	0	0
Low	Common	4	0	0	0
Low	Common	3	0	0	0
Low	Common	9	0	0	0
Low	Common	6	0	0	0
Low	Common	8	0	0	0
Low	Common	10	0	0	0
High	Ambig	7	1	1	1
High	Ambig	8	1	1	1
High	Ambig	4	1	1	1
High	Ambig	4	1	1	1
High	Ambig	7	1	1	1
High	Ambig	8	1	1	1
High	Ambig	3	1	1	1
High	Ambig	7	1	1	1
High	Ambig	5	1	1	1
High	Ambig	5	1	1	1
High	Ambig	9	1	1	1
High	Ambig	5	1	1	1
High	Ambig	8	1	1	1
High	Ambig	3	1	1	1
High	Ambig	8	1	1	1
High	Ambig	4	1	1	1
High	Ambig	7	1	1	1
High	Ambig	8	1	1	1
High	Ambig	7	1	1	1
High	Ambig	6	1	1	1
High	Ambig	6	1	1	1
High	Ambig	8	1	1	1
High	Ambig	6	1	1	1
High	Ambig	6	1	1	1
High	Ambig	4	1	1	1
High	Common	7	1	0	0
High	Common	8	1	0	0
High	Common	10	1	0	0
High	Common	7	1	0	0
High	Common	8	1	0	0
High	Common	8	1	0	0
High	Common	4	1	0	0
High	Common	6	1	0	0
High	Common	7	1	0	0
High	Common	9	1	0	0
High	Common	8	1	0	0
High	Common	6	1	0	0
High	Common	8	1	0	0
High	Common	5	1	0	0
High	Common	9	1	0	0
High	Common	4	1	0	0
High	Common	4	1	0	0
High	Common	3	1	0	0
High	Common	5	1	0	0
High	Common	4	1	0	0
High	Common	4	1	0	0
High	Common	5	1	0	0
High	Common	3	1	0	0
High	Common	8	1	0	0
High	Common	7	1	0	0
