SUBJECT	SONG	POOL	SCORE
1	NON-VIO	PSYCHOL	2.5
2	NON-VIO	PSYCHOL	2.9
3	NON-VIO	PSYCHOL	2.9
4	NON-VIO	PSYCHOL	3
5	NON-VIO	PSYCHOL	2.6
6	NON-VIO	PSYCHOL	2.4
7	NON-VIO	PSYCHOL	3.5
8	NON-VIO	PSYCHOL	3.3
9	NON-VIO	PSYCHOL	3.7
10	NON-VIO	PSYCHOL	3.3
11	NON-VIO	PSYCHOL	2.8
12	NON-VIO	PSYCHOL	2.5
13	NON-VIO	PSYCHOL	2.8
14	NON-VIO	PSYCHOL	2
15	NON-VIO	PSYCHOL	3.1
16	NON-VIO	VOLUNTEER	2.4
17	NON-VIO	VOLUNTEER	2.4
18	NON-VIO	VOLUNTEER	2.5
19	NON-VIO	VOLUNTEER	2.6
20	NON-VIO	VOLUNTEER	3.6
21	NON-VIO	VOLUNTEER	4
22	NON-VIO	VOLUNTEER	3.3
23	NON-VIO	VOLUNTEER	3.7
24	NON-VIO	VOLUNTEER	2.8
25	NON-VIO	VOLUNTEER	2.9
26	NON-VIO	VOLUNTEER	3.2
27	NON-VIO	VOLUNTEER	2.5
28	NON-VIO	VOLUNTEER	2.9
29	NON-VIO	VOLUNTEER	3
30	NON-VIO	VOLUNTEER	2.4
31	VIOLENT	PSYCHOL	3.4
32	VIOLENT	PSYCHOL	3.9
33	VIOLENT	PSYCHOL	4.2
34	VIOLENT	PSYCHOL	3.2
35	VIOLENT	PSYCHOL	4.3
36	VIOLENT	PSYCHOL	3.3
37	VIOLENT	PSYCHOL	3.1
38	VIOLENT	PSYCHOL	3.2
39	VIOLENT	PSYCHOL	3.8
40	VIOLENT	PSYCHOL	3.1
41	VIOLENT	PSYCHOL	3.8
42	VIOLENT	PSYCHOL	4.1
43	VIOLENT	PSYCHOL	3.3
44	VIOLENT	PSYCHOL	3.8
45	VIOLENT	PSYCHOL	4.5
46	VIOLENT	VOLUNTEER	4.1
47	VIOLENT	VOLUNTEER	3.5
48	VIOLENT	VOLUNTEER	3.4
49	VIOLENT	VOLUNTEER	4.1
50	VIOLENT	VOLUNTEER	3.7
51	VIOLENT	VOLUNTEER	2.8
52	VIOLENT	VOLUNTEER	3.4
53	VIOLENT	VOLUNTEER	4
54	VIOLENT	VOLUNTEER	2.5
55	VIOLENT	VOLUNTEER	3
56	VIOLENT	VOLUNTEER	3.4
57	VIOLENT	VOLUNTEER	3.5
58	VIOLENT	VOLUNTEER	3.2
59	VIOLENT	VOLUNTEER	3.1
60	VIOLENT	VOLUNTEER	3.6
