FEEDBACK	SUBJECT	CONFED
76	NotVis	Failure
90	NotVis	Failure
83	NotVis	Failure
46	NotVis	Failure
83	NotVis	Failure
62	NotVis	Failure
85	NotVis	Failure
64	NotVis	Failure
37	NotVis	Failure
96	NotVis	Failure
79	NotVis	Success
106	NotVis	Success
87	NotVis	Success
104	NotVis	Success
100	NotVis	Success
65	NotVis	Success
99	NotVis	Success
105	NotVis	Success
93	NotVis	Success
55	NotVis	Success
118	Visible	Failure
153	Visible	Failure
127	Visible	Failure
141	Visible	Failure
153	Visible	Failure
169	Visible	Failure
171	Visible	Failure
156	Visible	Failure
137	Visible	Failure
143	Visible	Failure
67	Visible	Success
83	Visible	Success
75	Visible	Success
84	Visible	Success
54	Visible	Success
46	Visible	Success
75	Visible	Success
51	Visible	Success
87	Visible	Success
104	Visible	Success
