Participant	Design	Taste
1	Angular	Sweet
2	Angular	Sweet
3	Angular	Sweet
4	Angular	Sweet
5	Angular	Sweet
6	Angular	Sweet
7	Angular	Sweet
8	Angular	Sweet
9	Angular	Sweet
10	Angular	Sweet
11	Angular	Sweet
12	Angular	Sweet
13	Angular	Sweet
14	Angular	Sweet
15	Angular	Sweet
16	Angular	Sweet
17	Angular	Sweet
18	Angular	Sweet
19	Angular	Sweet
20	Angular	Sweet
21	Angular	Sweet
22	Angular	Sweet
23	Angular	Sweet
24	Angular	Sweet
25	Angular	Sweet
26	Angular	Sweet
27	Angular	Sweet
28	Angular	Sweet
29	Angular	Sweet
30	Angular	Sweet
31	Angular	Sweet
32	Angular	Sweet
33	Angular	Sweet
34	Angular	Sweet
35	Angular	Sweet
36	Angular	Sour
37	Angular	Sour
38	Angular	Sour
39	Angular	Sour
40	Angular	Sour
41	Rounded	Sweet
42	Rounded	Sweet
43	Rounded	Sweet
44	Rounded	Sweet
45	Rounded	Sweet
46	Rounded	Sweet
47	Rounded	Sweet
48	Rounded	Sour
49	Rounded	Sour
50	Rounded	Sour
51	Rounded	Sour
52	Rounded	Sour
53	Rounded	Sour
54	Rounded	Sour
55	Rounded	Sour
56	Rounded	Sour
57	Rounded	Sour
58	Rounded	Sour
59	Rounded	Sour
60	Rounded	Sour
61	Rounded	Sour
62	Rounded	Sour
63	Rounded	Sour
64	Rounded	Sour
65	Rounded	Sour
66	Rounded	Sour
67	Rounded	Sour
68	Rounded	Sour
69	Rounded	Sour
70	Rounded	Sour
71	Rounded	Sour
72	Rounded	Sour
73	Rounded	Sour
74	Rounded	Sour
75	Rounded	Sour
76	Rounded	Sour
77	Rounded	Sour
78	Rounded	Sour
79	Rounded	Sour
80	Rounded	Sour
