TEMP	LOAD	TEMP2	TEMP3
94	136	8836	830584
96	131.7	9216	884736
95	140.7	9025	857375
108	189.3	11664	1259712
67	96.5	4489	300763
88	116.4	7744	681472
89	118.5	7921	704969
84	113.4	7056	592704
90	132	8100	729000
106	178.2	11236	1191016
67	101.6	4489	300763
71	92.5	5041	357911
100	151.9	10000	1000000
79	106.2	6241	493039
97	153.2	9409	912673
98	150.1	9604	941192
87	114.7	7569	658503
76	100.9	5776	438976
68	96.3	4624	314432
92	135.1	8464	778688
100	143.6	10000	1000000
85	111.4	7225	614125
89	116.5	7921	704969
74	103.9	5476	405224
86	105.1	7396	636056
