T	SALES	RESIDUAL
1	4.8	0.102857143
2	4	-4.992773109
3	5.5	-7.788403361
4	15.6	-1.984033613
5	23.1	1.220336134
6	23.3	-2.875294118
7	31.4	0.92907563
8	46	11.23344538
9	46.1	7.037815126
10	41.9	-1.457815126
11	45.5	-2.153445378
12	53.5	1.55092437
13	48.4	-7.844705882
14	61.6	1.059663866
15	65.6	0.764033613
16	71.4	2.268403361
17	83.4	9.972773109
18	93.6	15.87714286
19	94.2	12.18151261
20	85.4	-0.914117647
21	86.2	-4.409747899
22	89.9	-5.005378151
23	89.2	-10.0010084
24	99.1	-4.396638655
25	100.3	-7.492268908
26	111.7	-0.38789916
27	108.2	-8.183529412
28	115.5	-5.179159664
29	119.2	-5.774789916
30	125.2	-4.070420168
31	136.3	2.73394958
32	146.8	8.938319328
33	146.1	3.942689076
34	151.4	4.947058824
35	150.9	0.151428571
