POSITIVE	NEUTRAL	RULE	RATING
2	3	Positive	2
4	3	Positive	4
3	2	Positive	3
3	1	Positive	3
3	2	Positive	3
3	1	Positive	3
4	1	Positive	4
4	1	Positive	4
4	2	Positive	4
4	2	Positive	4
4	1	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	3	Positive	4
4	2	Positive	4
4	2	Positive	4
4	1	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	1	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
4	1	Positive	4
4	2	Positive	4
4	2	Positive	4
4	2	Positive	4
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	3	Positive	5
5	2	Positive	5
5	1	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	1	Positive	5
5	2	Positive	5
5	1	Positive	5
5	2	Positive	5
5	2	Positive	5
5	3	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	1	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5	2	Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
5		Positive	5
		Neutral	3
		Neutral	3
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	1
		Neutral	1
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	3
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	3
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	3
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	1
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
		Neutral	2
