Month	Energy	Condition
Jan	7308	S
Feb	6984	S
Mar	7874	S
Apr	7328	S
May	7089	S
Jun	5730	S
Jul	4531	S
Aug	4587	S
Sep	5985	S
Oct	7051	S
Nov	6724	S
Dec	6883	S
Jan	8917	D1
Feb	8658	D1
Mar	9227	D1
Apr	7930	D1
May	7605	D1
Jun	6350	D1
Jul	5120	D1
Aug	5171	D1
Sep	6862	D1
Oct	8608	D1
Nov	8264	D1
Dec	8297	D1
Jan	9875	D2
Feb	9862	D2
Mar	11092	D2
Apr	9287	D2
May	8422	D2
Jun	7069	D2
Jul	5783	D2
Aug	5933	D2
Sep	8208	D2
Oct	10008	D2
Nov	9238	D2
Dec	9144	D2
Jan	10196	D3
Feb	9765	D3
Mar	11861	D3
Apr	10343	D3
May	9110	D3
Jun	7536	D3
Jul	6179	D3
Aug	6422	D3
Sep	8925	D3
Oct	10239	D3
Nov	9334	D3
Dec	9808	D3
