IntraPers	StressMan	Mood	Rating	Project
14	12	17	High	88
21	13	45	High	86
26	18	6	High	83.5
30	20	36	High	85.5
28	23	22	High	90
27	24	28	High	90.5
21	24	38	High	94
20	30	30	High	85.5
14	32	16	High	88
18	32	17	High	91
10	33	13	High	91.5
28	43	28	High	91.5
19	19	21	OverRated	86
26	31	26	OverRated	83
25	31	11	OverRated	85
40	35	24	OverRated	84
27	12	14	HardWork	85.5
30	13	29	HardWork	85
31	24	28	HardWork	84.5
25	26	16	HardWork	83.5
23	28	12	HardWork	85
20	32	10	HardWork	92.5
35	35	17	HardWork	89
