PAPER	WONG	DIMENSION
1	3	WHAT-A
2	3	WHAT-A
3	2	WHAT-A
4	2	WHAT-A
5	2	WHAT-A
6	2	WHAT-A
7	2	WHAT-A
8	2	WHAT-A
9	1	WHAT-A
10	2	WHAT-A
11	2	WHAT-A
12	2	WHAT-A
13	3	WHAT-A
1	3	WHAT-B
2	3	WHAT-B
3	2	WHAT-B
4	3	WHAT-B
5	3	WHAT-B
6	3	WHAT-B
7	3	WHAT-B
8	2	WHAT-B
9	2	WHAT-B
10	3	WHAT-B
11	2	WHAT-B
12	3	WHAT-B
13	3	WHAT-B
1	2	WHAT-C
2	2	WHAT-C
3	3	WHAT-C
4	3	WHAT-C
5	2	WHAT-C
6	2	WHAT-C
7	2	WHAT-C
8	2	WHAT-C
9	2	WHAT-C
10	2	WHAT-C
11	1	WHAT-C
12	3	WHAT-C
13	2	WHAT-C
1	2	WHO-A
2	1	WHO-A
3	1	WHO-A
4	2	WHO-A
5	2	WHO-A
6	1	WHO-A
7	2	WHO-A
8	1	WHO-A
9	2	WHO-A
10	1	WHO-A
11	1	WHO-A
12	2	WHO-A
13	2	WHO-A
1	2	WHO-B
2	3	WHO-B
3	2	WHO-B
4	1	WHO-B
5	2	WHO-B
6	1	WHO-B
7	1	WHO-B
8	2	WHO-B
9	2	WHO-B
10	2	WHO-B
11	1	WHO-B
12	1	WHO-B
13	1	WHO-B
1	3	WHO-C
2	2	WHO-C
3	2	WHO-C
4	3	WHO-C
5	3	WHO-C
6	1	WHO-C
7	3	WHO-C
8	3	WHO-C
9	3	WHO-C
10	2	WHO-C
11	2	WHO-C
12	3	WHO-C
13	3	WHO-C
1	2	HOW-A
2	3	HOW-A
3	1	HOW-A
4	2	HOW-A
5	1	HOW-A
6	2	HOW-A
7	2	HOW-A
8	3	HOW-A
9	1	HOW-A
10	2	HOW-A
11	3	HOW-A
12	1	HOW-A
13	2	HOW-A
1	2	HOW-B
2	2	HOW-B
3	2	HOW-B
4	1	HOW-B
5	3	HOW-B
6	2	HOW-B
7	2	HOW-B
8	2	HOW-B
9	1	HOW-B
10	3	HOW-B
11	2	HOW-B
12	2	HOW-B
13	2	HOW-B
1	3	HOW-C
2	2	HOW-C
3	3	HOW-C
4	2	HOW-C
5	2	HOW-C
6	1	HOW-C
7	2	HOW-C
8	3	HOW-C
9	1	HOW-C
10	3	HOW-C
11	3	HOW-C
12	3	HOW-C
13	3	HOW-C
