YEAR	VSHARE	I	DPER	DUR	WAR	GDPRATE	INFRATE	NQTR32	CDEM	CREP	LDEM	LREP	VA	VB	WIN	CDIFF	LDIFF	INCUMB1	INCUMB2
1916	51.68	1	1	0	0	2.23	4.25	3	40	46	182	354	49.46	50.78	D	-6	-172	1	0
1920	36.15	1	0	1	1	-11.46	0	0	1	61	6	266	47.24	39.34	R	-60	-260	0	1
1924	41.74	-1	-1	0	0	-3.87	5.16	10	58.5	40.5	241	362	43.01	40.03	R	18	-121	0	0
1928	41.24	-1	0	-1	0	4.62	0.18	7	45.5	41.5	328	200	43.41	44.11	R	4	128	0	1
1932	59.15	-1	-1	-1.25	0	-14.59	7.16	4	46	68	189	339	64.91	64.19	D	-22	-150	0	0
1936	62.23	1	1	0	0	11.84	2.48	9	42	56.5	102	212	64.18	61.74	D	-14.5	-110	1	0
1940	54.98	1	1	1	0	3.9	0.08	8	50.5	58	137	338	55.75	52.64	D	-7.5	-201	1	0
1944	53.78	1	1	1.25	1	4.23	0	0	20.5	30.5	67	131	50.82	53.14	D	-10	-64	1	0
1948	52.32	1	1	1.5	1	3.64	0	0	26	36.5	146	78	49.56	52.28	D	-10.5	68	1	0
1952	44.71	1	0	1.75	0	0.73	2.35	7	21.5	19.5	72	49	45.72	46.18	R	2	23	0	1
1956	42.91	-1	-1	0	0	-1.45	1.9	5	43	43	143	183	43.88	44	R	0	-40	0	0
1960	50.09	-1	0	-1	0	0.46	1.94	5	50.5	85	122	179	48.44	49.89	D	-34.5	-57	0	1
1964	61.2	1	1	0	0	5.09	1.27	10	43	72	127	122	60.78	60.23	D	-29	5	1	0
1968	49.43	1	0	1	0	5.05	3.13	7	60	80.5	138	254	50.6	50.77	R	-20.5	-116	0	1
1972	38.21	-1	-1	0	0	5.95	4.8	4	51.5	57.5	105	209	42.42	40.85	R	-6	-104	0	0
1976	51.05	-1	0	-1	0	3.81	7.63	5	61.5	47.5	140	171	49.41	56.21	D	14	-31	0	1
1980	44.84	1	1	0	0	-3.66	7.86	5	68	80	247	203	46.41	48.05	R	-12	44	1	0
1984	40.88	-1	-1	0	0	5.42	5.25	8	46.5	88.5	190	287	37.24	30.6	R	-42	-97	0	0
1988	46.17	-1	0	-1	0	2.21	2.96	4	84.5	118.5	119	295	49.76	47.55	R	-34	-176	0	1
1992	53.62	-1	-1	-1.25	0	2.95	3.31	2	102	83.5	280	319	46.15	48.88	D	18.5	-39	0	0
1996	54.74	1	1	0	0	3.26	2.03	4	70.5	87	354	320	52.74	51.38	D	-16.5	34	1	0
2000	50.26	1	0	1	0	2.01	1.64	7	86	88.5	311	303	49.03	51.28	R	-2.5	8	0	1
2004	48.77	-1	-1	0	0	1.99	2.25	1	123	74.5	317	275	43.95	44.12	R	48.5	42	0	0
2008	53.69	-1	0	-1	0	-2.26	3.05	1	93.5	80	210	284	55.78	56.16	D	13.5	-74	0	1
