RNA	MNSOD	PLD	X1	Y	X2	X1SQ	X1X2	X1SQX2
0	401	80	0	401	1	0	0	0
0	336	83	0	336	1	0	0	0
0	337	75	0	337	1	0	0	0
0.33	711	132	0.33	711	1	0.1089	0.33	0.1089
0.33	637	148	0.33	637	1	0.1089	0.33	0.1089
0.33	602	115	0.33	602	1	0.1089	0.33	0.1089
0.5	985	147	0.5	985	1	0.25	0.5	0.25
0.5	650	142	0.5	650	1	0.25	0.5	0.25
0.5	747	146	0.5	747	1	0.25	0.5	0.25
0.67	904	146	0.67	904	1	0.4489	0.67	0.4489
0.67	1007	150	0.67	1007	1	0.4489	0.67	0.4489
0.67	1047	184	0.67	1047	1	0.4489	0.67	0.4489
0.8	1151	173	0.8	1151	1	0.64	0.8	0.64
0.8	1098	201	0.8	1098	1	0.64	0.8	0.64
0.8	1061	181	0.8	1061	1	0.64	0.8	0.64
1	1261	193	1	1261	1	1	1	1
1	1272	187	1	1272	1	1	1	1
1	1256	199	1	1256	1	1	1	1
*	*	*	0	80	0	0	0	0
*	*	*	0	83	0	0	0	0
*	*	*	0	75	0	0	0	0
*	*	*	0.33	132	0	0.1089	0	0
*	*	*	0.33	148	0	0.1089	0	0
*	*	*	0.33	115	0	0.1089	0	0
*	*	*	0.5	147	0	0.25	0	0
*	*	*	0.5	142	0	0.25	0	0
*	*	*	0.5	146	0	0.25	0	0
*	*	*	0.67	146	0	0.4489	0	0
*	*	*	0.67	150	0	0.4489	0	0
*	*	*	0.67	184	0	0.4489	0	0
*	*	*	0.8	173	0	0.64	0	0
*	*	*	0.8	201	0	0.64	0	0
*	*	*	0.8	181	0	0.64	0	0
*	*	*	1	193	0	1	0	0
*	*	*	1	187	0	1	0	0
*	*	*	1	199	0	1	0	0
