CONTRACT	COST	DOTEST	STATUS	STA_DOT
1	13.7943	13.8629	1	13.8629
2	1.3403	0.8571	1	0.8571
3	2.0233	2.4889	0	0
4	3.9712	4.6749	0	0
5	1.5854	1.1772	1	1.1772
6	11.2811	10.0891	1	10.0891
7	4.0033	4.7298	1	4.7298
8	5.8164	7.8539	0	0
9	3.5396	3.7002	0	0
10	1.3871	1.7425	0	0
11	3.8366	4.1095	1	4.1095
12	39.1094	34.0594	1	34.0594
13	3.6292	3.8596	0	0
14	1.965	2.3541	0	0
15	6.3799	6.2741	0	0
16	1.5206	1.754	1	1.754
17	3.75	4.3233	0	0
18	22.8456	14.9904	1	14.9904
19	5.5145	4.9774	1	4.9774
20	2.3967	1.9465	1	1.9465
21	2.0787	1.6799	1	1.6799
22	6.4048	7.678	0	0
23	2.3054	2.603	1	2.603
24	2.9987	2.4704	1	2.4704
25	23.6884	24.5677	0	0
26	4.9649	8.794	0	0
27	15.6487	13.034	1	13.034
28	73.8703	61.0793	0	0
29	1.9568	1.9909	0	0
30	8.3047	7.1546	1	7.1546
31	1.7906	2.0872	0	0
32	1.5035	1.9909	0	0
33	2.4006	4.2924	0	0
34	5.8681	7.0985	0	0
35	5.3717	6.7641	0	0
36	3.9269	4.9055	0	0
37	2.1647	4.0647	0	0
38	15.5937	19.2531	0	0
39	0.8831	1.4307	0	0
40	2.6845	3.0809	0	0
41	1.8902	2.6955	0	0
42	1.9281	2.277	0	0
43	2.5622	4.3679	0	0
44	1.1361	1.3239	0	0
45	1.2499	1.2161	0	0
46	1.1657	1.1421	0	0
47	1.4313	1.7271	0	0
48	0.3619	0.6444	0	0
49	25.1839	31.2439	0	0
50	13.5351	16.1753	0	0
51	3.3282	3.7637	0	0
52	2.025	3.0032	0	0
53	60.4331	70.7499	0	0
54	22.8081	28.2387	0	0
55	0.9992	1.1899	1	1.1899
56	14.6159	17.7472	0	0
57	12.1757	13.4108	0	0
58	2.5844	3.0644	0	0
59	1.1542	1.1794	0	0
60	4.6393	5.4001	0	0
61	7.2886	7.6302	0	0
62	39.2992	39.4157	0	0
63	1.8169	1.9482	0	0
64	4.7947	4.8717	0	0
65	0.9348	0.9236	0	0
66	23.0107	25.056	0	0
67	1.3606	1.8109	0	0
68	1.4406	2.5292	0	0
69	0.6517	0.8475	0	0
70	1.6133	1.6403	0	0
71	11.3854	12.5462	0	0
72	0.8479	0.9763	0	0
73	7.4913	8.5934	0	0
74	0.4367	0.4109	0	0
75	29.2071	28.125	0	0
76	0.3263	0.4005	0	0
77	11.1512	11.4853	0	0
78	0.5066	0.5986	0	0
79	22.2934	24.346	0	0
80	21.5985	26.9859	0	0
81	0.4591	0.6189	0	0
82	1.2731	1.3752	0	0
83	1.4781	1.4334	1	1.4334
84	4.7071	4.4775	0	0
85	1.8867	2.0246	0	0
86	47.6517	50.3594	0	0
87	1.6853	1.6367	0	0
88	0.9586	0.9563	0	0
89	1.0692	1.0789	0	0
90	6.9848	6.4643	0	0
91	7.96	9.6969	0	0
92	6.8973	8.0161	0	0
93	8.3184	9.0684	0	0
94	21.5015	21.6137	0	0
95	1.6975	1.8732	0	0
96	9.2358	8.8737	0	0
97	25.2747	26.1681	0	0
98	7.2658	7.7827	0	0
99	11.871	15.7345	0	0
100	1.3802	1.4928	0	0
101	1.4756	1.6223	0	0
102	0.9424	1.1609	0	0
103	5.8052	6.7541	0	0
104	4.4552	4.3503	0	0
105	1.1046	1.2007	0	0
106	0.4517	0.6828	0	0
107	8.006	10.3145	0	0
108	4.9547	5.4181	0	0
109	13.7006	13.7792	0	0
110	6.0751	8.0909	0	0
111	1.5272	1.6124	0	0
112	7.282	9.1697	0	0
113	1.8159	1.4646	0	0
114	4.6292	5.0479	0	0
