PROPERTY	LEASEFEE	SIZE	SIZE_SQ	FITS	RESI
8	73.3	12	144	85.12859734	-11.82859734
16	74.2	12.3	151.29	88.12385127	-13.92385127
20	75.2	12.4	153.76	89.11971825	-13.91971825
14	97.5	13.2	174.24	97.04073618	0.459263822
1	70.7	13.5	182.25	99.99007219	-29.29007219
9	144.3	13.8	190.44	102.9279287	41.37207128
11	148	14.5	210.25	109.7382849	38.26171512
7	86.8	15.2	231.04	116.4861417	-29.68614166
15	158.1	16.3	265.69	126.9636423	31.13635766
3	87.6	17.6	309.76	139.1471655	-51.5471655
13	171.2	18.7	349.69	149.2879348	21.9120652
