Station	Name	Precip	Altitude	Latitude	Distance	Shadow	Residual	StdResid	Predicted	Shad_Alt	Shad_Lat	Shad_Dis	Shadow_L
1	Eureka	39.57	43	40.8	1	W	1.090340497	0.107800522	38.4796595	0	0	0	0
2	RedBluff	23.27	341	40.2	97	L	-0.64363948	-0.061716575	23.91363948	341	40.2	97	1
3	Thermal	18.2	4152	33.8	70	L	-3.072853837	-0.312275645	21.27285384	4152	33.8	70	1
4	FortBragg	37.48	74	39.4	1	W	3.705046093	0.355514998	33.77495391	0	0	0	0
5	SodaSprings	49.26	6752	39.3	150	W	9.799482356	1.035614068	39.46051764	0	0	0	0
6	SanFrancisco	21.82	52	37.8	5	W	-5.771803786	-0.542297448	27.59180379	0	0	0	0
7	Sacramento	18.07	25	38.5	80	L	-1.112782352	-0.104113401	19.18278235	25	38.5	80	1
8	SanJose	14.17	95	37.4	28	L	-8.931535295	-0.828704478	23.1015353	95	37.4	28	1
9	GiantForest	42.63	6360	36.6	145	W	13.37659195	1.395722121	29.25340805	0	0	0	0
10	Salinas	13.85	74	36.7	12	L	-9.035603014	-0.84225861	22.88560301	74	36.7	12	1
11	Fresno	9.44	331	36.7	114	L	0.074627062	0.006989693	9.365372938	331	36.7	114	1
12	PtPiedras	19.33	57	35.7	1	W	-1.606419994	-0.150945461	20.93641999	0	0	0	0
13	PasaRobles	15.67	740	35.7	31	L	-3.77451061	-0.350069344	19.44451061	740	35.7	31	1
14	Bakersfield	6	489	35.4	75	L	-5.096724429	-0.47148062	11.09672443	489	35.4	75	1
15	Bishop	5.73	4108	37.3	198	L	-9.155854735	-0.891040867	14.88585474	4108	37.3	198	1
16	Mineral	47.82	4850	40.4	142	W	11.20059801	1.098956696	36.61940199	0	0	0	0
17	SantaBarbara	17.95	120	34.4	1	W	1.242281044	0.118052633	16.70771896	0	0	0	0
18	Susanville	18.2	4152	40.3	198	L	-7.219076808	-0.713830729	25.41907681	4152	40.3	198	1
19	TuleLake	10.03	4036	41.9	140	L	-28.72205538	-2.849768693	38.75205538	4036	41.9	140	1
20	Needles	4.63	913	34.8	192	L	10.58390362	1.080889505	-5.953903618	913	34.8	192	1
21	Burbank	14.74	699	34.2	47	W	2.925544704	0.274137418	11.8144553	0	0	0	0
22	LosAngeles	15.02	312	34.1	16	W	0.705092134	0.066776263	14.31490787	0	0	0	0
23	LongBeach	12.36	50	33.8	12	W	-0.419299281	-0.039934708	12.77929928	0	0	0	0
24	LosBanos	8.26	125	37.8	74	L	-9.773225003	-0.906269235	18.033225	125	37.8	74	1
25	Blythe	4.05	268	33.6	155	L	11.49784581	1.157541443	-7.447845813	268	33.6	155	1
26	SanDiego	9.94	19	32.7	5	W	0.083690078	0.008171686	9.856309922	0	0	0	0
27	Daggett	4.25	2105	34.1	85	L	-7.542020372	-0.711745114	11.79202037	2105	34.1	85	1
28	DeathValley	1.66	-178	36.5	194	L	6.495538931	0.688420227	-4.835538931	-178	36.5	194	1
29	CrescentCity	74.87	35	41.7	1	W	33.31709286	3.383854694	41.55290714	0	0	0	0
30	Colusa	15.95	60	39.2	91	L	-4.220270772	-0.399465494	20.17027077	60	39.2	91	1
