GROUP	PRIME	RELATED	ACCURACY	SPEED
1	FACE	YES	89	700
1	FACE	YES	90	933
1	FACE	YES	87	651
1	FACE	YES	82	716
1	FACE	YES	93	816
1	FACE	YES	85	791
1	FACE	YES	73	661
1	FACE	YES	92	811
1	FACE	YES	91	893
1	FACE	YES	92	661
2	FACE	NO	70	859
2	FACE	NO	66	864
2	FACE	NO	76	860
2	FACE	NO	55	700
2	FACE	NO	94	1200
2	FACE	NO	80	811
2	FACE	NO	95	849
2	FACE	NO	81	922
2	FACE	NO	97	981
2	FACE	NO	74	904
3	VOICE	YES	86	1307
3	VOICE	YES	83	1245
3	VOICE	YES	93	1167
3	VOICE	YES	96	1151
3	VOICE	YES	89	1092
3	VOICE	YES	70	1199
3	VOICE	YES	85	1529
3	VOICE	YES	91	1264
3	VOICE	YES	89	1236
3	VOICE	YES	87	1266
4	VOICE	NO	90	1257
4	VOICE	NO	80	1274
4	VOICE	NO	87	1153
4	VOICE	NO	93	998
4	VOICE	NO	81	1130
4	VOICE	NO	95	712
4	VOICE	NO	86	1195
4	VOICE	NO	86	1300
4	VOICE	NO	99	1046
4	VOICE	NO	90	1250
