FOLIO	LAND	IMP	SALES	NBHD	TOTVAL	NBHD_CHEV	NBHD_DAV	NBHD_HUN	LAN_CHEV	LAN_DAV	LAN_HUN	IMP_CHEV	IMP_DAV	IMP_HUN	LAN_IMP	L_I_CHEV	L_I_DAV	L_I_HUN	LNSALES
45802016	55.16	148.453	200	TOWN&CTY	203.613	0	0	0	0	0	0	0	0	0	8188.66748	0	0	0	5.298317367
45802040	40.215	125.093	225	TOWN&CTY	165.308	0	0	0	0	0	0	0	0	0	5030.614995	0	0	0	5.416100402
45802052	36.125	149.806	235	TOWN&CTY	185.931	0	0	0	0	0	0	0	0	0	5411.74175	0	0	0	5.459585514
45802068	40.215	128.752	250	TOWN&CTY	168.967	0	0	0	0	0	0	0	0	0	5177.76168	0	0	0	5.521460918
48680000	37.4	110.503	200	TOWN&CTY	147.903	0	0	0	0	0	0	0	0	0	4132.8122	0	0	0	5.298317367
48930000	37.489	136.202	210	TOWN&CTY	173.691	0	0	0	0	0	0	0	0	0	5106.076778	0	0	0	5.347107531
48970000	32.108	124.508	219.9	TOWN&CTY	156.616	0	0	0	0	0	0	0	0	0	3997.702864	0	0	0	5.393172898
49480000	37.4	119.776	243	TOWN&CTY	157.176	0	0	0	0	0	0	0	0	0	4479.6224	0	0	0	5.493061443
50290000	41.65	124.888	230	TOWN&CTY	166.538	0	0	0	0	0	0	0	0	0	5201.5852	0	0	0	5.438079309
50320000	42.837	127.171	201.3	TOWN&CTY	170.008	0	0	0	0	0	0	0	0	0	5447.624127	0	0	0	5.304796333
50390000	40.392	131.19	245	TOWN&CTY	171.582	0	0	0	0	0	0	0	0	0	5299.02648	0	0	0	5.501258211
50490016	48.45	132.909	235	TOWN&CTY	181.359	0	0	0	0	0	0	0	0	0	6439.44105	0	0	0	5.459585514
50490050	51	110.365	201	TOWN&CTY	161.365	0	0	0	0	0	0	0	0	0	5628.615	0	0	0	5.303304908
50490132	43.732	149.815	265	TOWN&CTY	193.547	0	0	0	0	0	0	0	0	0	6551.70958	0	0	0	5.579729826
70680000	29.586	139.957	200	TOWN&CTY	169.543	0	0	0	0	0	0	0	0	0	4140.767802	0	0	0	5.298317367
70970000	33.482	239.54	349.9	TOWN&CTY	273.022	0	0	0	0	0	0	0	0	0	8020.27828	0	0	0	5.857647399
70980000	29.773	96.31	189.9	TOWN&CTY	126.083	0	0	0	0	0	0	0	0	0	2867.43763	0	0	0	5.246497618
71300000	32.151	108.106	170	TOWN&CTY	140.257	0	0	0	0	0	0	0	0	0	3475.716006	0	0	0	5.135798437
71450000	31.816	83.718	173	TOWN&CTY	115.534	0	0	0	0	0	0	0	0	0	2663.571888	0	0	0	5.153291594
71540000	48.691	148.984	215	TOWN&CTY	197.675	0	0	0	0	0	0	0	0	0	7254.179944	0	0	0	5.370638028
71700000	31.559	85.622	189.9	TOWN&CTY	117.181	0	0	0	0	0	0	0	0	0	2702.144698	0	0	0	5.246497618
71950000	32.211	102.958	212	TOWN&CTY	135.169	0	0	0	0	0	0	0	0	0	3316.380138	0	0	0	5.356586275
72160000	32.181	80.086	170	TOWN&CTY	112.267	0	0	0	0	0	0	0	0	0	2577.247566	0	0	0	5.135798437
72220000	30.657	95.269	135	TOWN&CTY	125.926	0	0	0	0	0	0	0	0	0	2920.661733	0	0	0	4.905274778
72760000	29.592	138.161	225	TOWN&CTY	167.753	0	0	0	0	0	0	0	0	0	4088.460312	0	0	0	5.416100402
72830000	29.592	146.149	215	TOWN&CTY	175.741	0	0	0	0	0	0	0	0	0	4324.841208	0	0	0	5.370638028
72840000	28.681	88.116	164.9	TOWN&CTY	116.797	0	0	0	0	0	0	0	0	0	2527.254996	0	0	0	5.10533923
