PRICPTM	DISTANCE	WEIGHT	PCTLOAD	ORIGIN	MARKET	DEREG	CARRIER	PRODUCT	LNPRICE
19941.82	3.6	7.5	32.6	MIA	LARGE	YES	B	100	9.900574313
112162.16	0.25	7.5	32.6	MIA	LARGE	YES	B	100	11.62770096
72972.97	0.25	15	65.2	MIA	LARGE	YES	B	100	11.19784438
41891.89	0.25	24	100	MIA	LARGE	YES	B	100	10.64284753
23518.71	2.6	7.5	32.6	MIA	LARGE	YES	B	100	10.06555155
58220.72	1.5	0.25	1.1	MIA	SMALL	YES	B	100	10.97199658
25724.94	4.8	0.25	1.1	MIA	LARGE	YES	B	100	10.15521623
17103.04	4.8	7.5	32.6	MIA	LARGE	YES	B	100	9.747011504
5884.01	6	24	100	MIA	SMALL	YES	B	100	8.679993781
35078.83	3	0.25	1.1	JAX	SMALL	YES	B	100	10.46535309
33671.17	3	0.75	3.3	JAX	SMALL	YES	B	100	10.42439726
26407.66	3	3	13	JAX	SMALL	YES	B	100	10.1814094
21734.23	3	7.5	32.6	JAX	SMALL	YES	B	100	9.986643716
8389.64	3	24	100	JAX	SMALL	YES	B	100	9.03475289
37062.8	1.7	3	13	JAX	LARGE	YES	B	100	10.52036905
11327.5	1.7	24	100	JAX	LARGE	YES	B	100	9.334988677
25117.51	2.3	7.5	32.6	JAX	SMALL	YES	B	100	10.13132049
41988.42	2.1	0.75	3.3	JAX	LARGE	YES	B	100	10.64514914
32416.34	2.1	3	13	JAX	LARGE	YES	B	100	10.3864179
7789.04	3.6	24	100	MIA	LARGE	YES	B	150	8.960472896
215540.54	0.25	0.25	1.1	MIA	LARGE	YES	B	150	12.28090429
112162.16	0.25	7.5	32.6	MIA	LARGE	YES	B	150	11.62770096
72972.97	0.25	15	65.2	MIA	LARGE	YES	B	150	11.19784438
15462.58	2.6	15	65.2	MIA	LARGE	YES	B	150	9.64617819
9160.6	2.6	24	100	MIA	LARGE	YES	B	150	9.122666958
52702.7	1.5	0.75	3.3	MIA	SMALL	YES	B	150	10.87242197
40090.09	1.5	3	13	MIA	SMALL	YES	B	150	10.59888445
21009.29	4.8	3	13	MIA	LARGE	YES	B	150	9.95272
17103.04	4.8	7.5	32.6	MIA	LARGE	YES	B	150	9.747011504
15540.54	6	7.5	32.6	MIA	SMALL	YES	B	150	9.651207372
11852.48	6	15	65.2	MIA	SMALL	YES	B	150	9.380292407
50394.14	1.8	0.25	1.1	MIA	SMALL	YES	B	150	10.82763018
35566.82	1.8	3	13	MIA	SMALL	YES	B	150	10.47916846
32343	3.4	0.25	1.1	JAX	LARGE	YES	B	150	10.38415289
24841.02	3.4	3	13	JAX	LARGE	YES	B	150	10.1202516
7849.76	3.4	24	100	JAX	LARGE	YES	B	150	8.968238237
35078.83	3	0.25	1.1	JAX	SMALL	YES	B	150	10.46535309
33671.17	3	0.75	3.3	JAX	SMALL	YES	B	150	10.42439726
26407.66	3	3	13	JAX	SMALL	YES	B	150	10.1814094
41988.42	2.1	0.75	3.3	JAX	LARGE	YES	B	150	10.64514914
30593.09	3.6	0.25	1.1	MIA	LARGE	YES	B	200	10.32852945
30217.72	3.6	0.75	3.3	MIA	LARGE	YES	B	200	10.31618379
133108.11	0.25	3	13	MIA	LARGE	YES	B	200	11.79891693
72972.97	0.25	15	65.2	MIA	LARGE	YES	B	200	11.19784438
36772.35	2.6	0.75	3.3	MIA	LARGE	YES	B	200	10.51250148
28846.15	2.6	3	13	MIA	LARGE	YES	B	200	10.26973181
15462.58	2.6	15	65.2	MIA	LARGE	YES	B	200	9.64617819
25724.94	4.8	0.75	3.3	MIA	LARGE	YES	B	200	10.15521623
21009.29	4.8	3	13	MIA	LARGE	YES	B	200	9.95272
17103.04	4.8	7.5	32.6	MIA	LARGE	YES	B	200	9.747011504
6615.99	4.8	24	100	MIA	LARGE	YES	B	200	8.797244725
22832.21	6	0.75	3.3	MIA	SMALL	YES	B	200	10.03592754
5884.01	6	24	100	MIA	SMALL	YES	B	200	8.679993781
35566.82	1.8	3	13	MIA	SMALL	YES	B	200	10.47916846
28810.06	1.8	7.5	32.6	MIA	SMALL	YES	B	200	10.26847991
19050.3	1.8	15	65.2	MIA	SMALL	YES	B	200	9.854838128
7849.76	3.4	24	100	JAX	LARGE	YES	B	200	8.968238237
8389.64	3	24	100	JAX	SMALL	YES	B	200	9.03475289
30206.68	1.7	7.5	32.6	JAX	LARGE	YES	B	200	10.31581837
13044.29	3.6	15	65.2	JAX	LARGE	YES	B	200	9.476105769
33671.17	3	0.75	3.3	JAX	SMALL	YES	B	200	10.42439726
26407.66	3	3	13	JAX	SMALL	YES	B	200	10.1814094
21734.23	3	7.5	32.6	JAX	SMALL	YES	B	200	9.986643716
14470.72	3	15	65.2	JAX	SMALL	YES	B	200	9.579882577
25117.51	2.3	7.5	32.6	JAX	SMALL	YES	B	200	10.13132049
44562.42	2.1	0.25	1.1	JAX	LARGE	YES	B	200	10.70464618
10296.01	2.1	24	100	JAX	LARGE	YES	B	200	9.239511721
44042	3.6	0.75	3.3	MIA	LARGE	NO	B	100	10.692899
23297.7	3.6	24	100	MIA	LARGE	NO	B	100	10.05610992
201871.2	0.25	3	13	MIA	LARGE	NO	B	100	12.21538515
165482.4	0.25	7.5	32.6	MIA	LARGE	NO	B	100	12.01662012
129627.57	0.25	24	100	MIA	LARGE	NO	B	100	11.77242077
43569.92	2.6	3	13	MIA	LARGE	NO	B	100	10.68212228
35905.62	2.6	7.5	32.6	MIA	LARGE	NO	B	100	10.48864911
20311.36	4.8	24	100	MIA	LARGE	NO	B	100	9.918935614
33573	6	0.25	1.1	MIA	SMALL	NO	B	100	10.42147745
33573	6	0.75	3.3	MIA	SMALL	NO	B	100	10.42147745
18352.89	6	24	100	MIA	SMALL	NO	B	100	9.817542334
30706.24	3.4	15	65.2	JAX	LARGE	NO	B	100	10.33222117
32995.4	3	15	65.2	JAX	SMALL	NO	B	100	10.40412344
25620.11	3	24	100	JAX	SMALL	NO	B	100	10.15113287
55678.94	1.7	3	13	JAX	LARGE	NO	B	100	10.92735726
44042	3.6	0.75	3.3	JAX	LARGE	NO	B	100	10.692899
29963	3.6	15	65.2	JAX	LARGE	NO	B	100	10.30771857
23297.7	3.6	24	100	JAX	LARGE	NO	B	100	10.05610992
49962.4	3	0.25	1.1	JAX	SMALL	NO	B	100	10.819026
32995.4	3	7.5	32.6	JAX	SMALL	NO	B	100	10.40412344
56881.04	2.3	0.75	3.3	JAX	SMALL	NO	B	100	10.94871735
37857.91	2.3	15	65.2	JAX	SMALL	NO	B	100	10.54159522
29759.58	2.3	24	100	JAX	SMALL	NO	B	100	10.30090638
60441.71	2.1	0.75	3.3	JAX	LARGE	NO	B	100	11.00943471
63897	3.6	0.75	3.3	MIA	LARGE	NO	B	150	11.06502769
431467.2	0.25	0.25	1.1	MIA	LARGE	NO	B	150	12.97494677
392479.2	0.25	0.75	3.3	MIA	LARGE	NO	B	150	12.88023882
251256	0.25	7.5	32.6	MIA	LARGE	NO	B	150	12.43422762
51650.77	2.6	7.5	32.6	MIA	LARGE	NO	B	150	10.85226038
51650.77	2.6	15	65.2	MIA	LARGE	NO	B	150	10.85226038
107144.8	1.5	0.75	3.3	MIA	SMALL	NO	B	150	11.58193647
39123.37	4.8	15	65.2	MIA	LARGE	NO	B	150	10.57447527
49204.3	6	0.25	1.1	MIA	SMALL	NO	B	150	10.8037363
49204.3	6	0.75	3.3	MIA	SMALL	NO	B	150	10.8037363
35125.3	6	7.5	32.6	MIA	SMALL	NO	B	150	10.46667695
46505.29	3.4	15	65.2	JAX	LARGE	NO	B	150	10.74732135
22372.92	3.4	24	100	JAX	LARGE	NO	B	150	10.01560658
70322.8	3	0.75	3.3	JAX	SMALL	NO	B	150	11.16085135
49384.8	3	15	65.2	JAX	SMALL	NO	B	150	10.80739796
63897	3.6	0.75	3.3	JAX	LARGE	NO	B	150	11.06502769
49384.8	3	15	65.2	JAX	SMALL	NO	B	150	10.80739796
74056.57	2.1	3	13	JAX	LARGE	NO	B	150	11.21258454
29163.44	2.1	24	100	JAX	LARGE	NO	B	150	10.28067115
60106.5	3.6	15	65.2	MIA	LARGE	NO	B	200	11.00387327
55519.92	3.6	24	100	MIA	LARGE	NO	B	200	10.92449715
118696.8	1.5	3	13	MIA	SMALL	NO	B	200	11.68432762
90287.88	1.5	24	100	MIA	SMALL	NO	B	200	11.41075851
46930	6	7.5	32.6	MIA	SMALL	NO	B	200	10.75641241
46930	6	15	65.2	MIA	SMALL	NO	B	200	10.75641241
43352.89	6	24	100	MIA	SMALL	NO	B	200	10.67712865
128997.33	1.8	0.25	1.1	MIA	SMALL	NO	B	200	11.76754699
87843.33	1.8	7.5	32.6	MIA	SMALL	NO	B	200	11.38331017
87843.33	1.8	15	65.2	MIA	SMALL	NO	B	200	11.38331017
87213.35	3.4	0.25	1.1	JAX	LARGE	NO	B	200	11.37611269
86576.29	3.4	0.75	3.3	JAX	LARGE	NO	B	200	11.36878127
75109.24	3.4	3	13	JAX	LARGE	NO	B	200	11.22669887
65702	3	7.5	32.6	JAX	SMALL	NO	B	200	11.09288465
134929.06	1.7	0.25	1.1	JAX	LARGE	NO	B	200	11.81250444
84491.54	1.7	24	100	JAX	LARGE	NO	B	200	11.34440669
84173.17	3.6	0.25	1.1	JAX	LARGE	NO	B	200	11.3406315
83752	3.6	0.75	3.3	JAX	LARGE	NO	B	200	11.33561533
92416	3	0.75	3.3	JAX	SMALL	NO	B	200	11.4340554
80214.2	3	3	13	JAX	SMALL	NO	B	200	11.29245584
75998.35	2.3	7.5	32.6	JAX	SMALL	NO	B	200	11.23846691
70194.36	2.3	24	100	JAX	SMALL	NO	B	200	11.15902324
114076	2.1	0.75	3.3	JAX	LARGE	NO	B	200	11.64462017
