Year	VALUE	T
1980	1.158	1
1981	1.062	2
1982	1	3
1983	0.985	4
1984	0.949	5
1985	0.913	6
1986	0.904	7
1987	0.866	8
1988	0.83	9
1989	0.793	10
1990	0.747	11
1991	0.725	12
1992	0.705	13
1993	0.686	14
1994	0.668	15
1995	0.651	16
1996	0.631	17
1997	0.62	18
1998	0.61	19
1999	0.594	20
2000	0.575	21
2001	0.566	22
2002	0.553	23
2003	0.543	24
2004	0.525	25
2005	0.508	26
2006	0.496	27
2007	0.476	28
2008	0.476	29
2009	0.463	30
2010	0.456	31
2011	0.443	32
2012	0.436	33
2013	0.429	34
2014	0.426	35
2015	0.423	36
2016	0.414	37
2017	0.406	38
