SALARY	EXP	EDUC	GENDER	NUMSUP	ASSETS	EXPSQ	GEN_SUP	LNSAL
93300	12	15	1	240	170	144	240	11.44357539
130000	25	14	1	510	160	625	510	11.77528973
88200	20	14	0	370	170	400	0	11.38736224
74400	3	19	1	170	170	9	170	11.21721122
115300	19	12	1	520	150	361	520	11.65529271
70400	14	13	0	420	160	196	0	11.16194854
114200	18	18	1	290	170	324	290	11.64570658
72600	2	17	1	200	180	4	200	11.1927202
108600	14	13	1	560	180	196	560	11.59542669
68600	4	16	1	230	160	16	230	11.13604781
102000	8	18	1	540	150	64	540	11.53272809
101400	19	15	1	90	180	361	90	11.52682837
149400	23	16	1	560	180	529	560	11.91438255
57100	5	15	0	470	150	25	0	10.9525594
87400	3	16	1	340	190	9	340	11.37825056
131000	22	17	1	70	200	484	70	11.7829526
90300	24	14	0	160	180	576	0	11.41089274
115600	22	16	1	160	190	484	160	11.65789124
102800	13	18	1	110	180	169	110	11.54054063
141900	21	16	1	410	180	441	410	11.86287786
90900	10	13	1	370	190	100	370	11.41751528
73400	11	12	1	180	170	121	180	11.20367921
101000	12	19	1	60	200	144	60	11.5228758
85400	10	19	1	60	180	100	60	11.35510138
138300	26	17	1	110	200	676	110	11.83718052
82300	7	15	1	280	190	49	280	11.31812639
85500	7	19	1	110	180	49	110	11.35627165
75300	10	19	0	300	170	100	0	11.22923541
87500	23	14	0	220	170	529	0	11.37939407
127100	12	15	1	570	200	144	570	11.75272946
80100	6	16	1	240	180	36	240	11.29103113
90900	15	16	0	300	150	225	0	11.41751528
109600	15	18	1	260	170	225	260	11.60459265
70700	8	13	1	150	160	64	150	11.16620085
104400	18	19	0	350	160	324	0	11.55598495
71200	2	13	1	370	190	4	370	11.1732481
85400	13	14	1	150	160	169	150	11.35510138
89300	12	17	0	480	190	144	0	11.39975677
124800	21	15	1	310	180	441	310	11.73446773
42800	3	12	0	340	150	9	0	10.66429338
125000	20	16	1	520	160	400	520	11.73606902
122200	20	19	1	200	170	400	200	11.71341433
107100	20	17	0	490	160	400	0	11.58151826
61000	1	15	0	570	180	1	0	11.01862914
59800	2	17	1	70	160	4	70	10.99876094
95700	9	17	1	300	160	81	300	11.46897358
85600	11	17	0	190	160	121	0	11.35744056
88900	21	13	0	500	160	441	0	11.39526742
143000	20	20	1	390	170	400	390	11.87059991
109200	17	16	0	520	180	289	0	11.60093634
156700	24	12	1	530	200	576	530	11.96208843
65100	2	17	0	590	190	4	0	11.08367983
105900	9	13	1	560	170	81	560	11.57025053
74300	2	18	0	600	190	4	0	11.21586623
79300	13	12	0	390	170	169	0	11.28099341
106600	14	18	1	110	170	196	110	11.57683879
106400	18	13	1	190	190	324	190	11.57496086
77400	10	14	1	110	160	100	110	11.25674206
129400	21	13	1	430	190	441	430	11.77066366
82600	11	14	0	440	150	121	0	11.32176496
126100	26	15	1	210	190	676	210	11.74483052
121900	22	18	1	320	160	484	320	11.71095632
96200	3	16	1	560	180	9	560	11.47418464
128900	17	18	1	450	190	289	450	11.76679219
72200	2	16	1	410	180	4	410	11.18719532
58800	4	18	0	70	150	16	0	10.98189713
79300	8	17	1	90	190	64	90	11.28099341
96100	13	15	1	290	160	169	290	11.47314459
94900	3	18	1	530	180	9	530	11.46057898
89000	13	16	0	420	170	169	0	11.39639165
108800	25	19	0	150	200	625	0	11.59726661
95300	11	15	1	500	190	121	500	11.46478509
71200	2	17	0	430	190	4	0	11.1732481
173400	26	17	1	570	190	676	570	12.06335634
107000	20	20	1	90	150	400	90	11.58058411
100000	19	12	1	340	160	361	340	11.51292546
100700	12	13	1	440	170	144	440	11.51990108
152800	22	18	1	500	160	484	500	11.93688516
95300	13	13	0	570	180	169	0	11.46478509
77300	2	15	1	560	190	4	560	11.25544923
84600	15	14	1	160	170	225	160	11.34568955
92600	12	13	1	390	190	144	390	11.43604442
85900	13	19	0	370	200	169	0	11.36093911
79400	5	17	1	330	160	25	330	11.28225365
80100	8	17	0	560	170	64	0	11.29103113
114100	21	20	0	590	180	441	0	11.64483054
78500	5	16	1	290	200	25	290	11.2708539
87300	9	18	0	440	180	81	0	11.37710574
102900	19	15	0	480	190	361	0	11.54151292
116300	23	19	1	130	150	529	130	11.66392834
51500	3	12	0	440	190	9	0	10.84933709
106500	13	19	1	310	150	169	310	11.57590026
109000	22	17	0	370	200	484	0	11.59910316
66600	9	12	0	180	160	81	0	11.10645986
111100	7	19	1	520	200	49	520	11.61818598
83100	10	18	0	90	180	100	0	11.32779998
159500	25	18	1	590	160	625	590	11.9797992
122500	10	19	1	480	200	100	480	11.71586631
67300	3	19	1	80	160	9	80	11.11691552
97900	16	17	0	380	160	256	0	11.49170183
