NoVerb	LateVerb	ContVerb	Radio	GROUP	RECALL
64	57	14	37	NoVerb	64
83	64	63	45	NoVerb	83
54	66	10	87	NoVerb	54
59	18	29	62	NoVerb	59
60	95	37	14	NoVerb	60
39	52	60	46	NoVerb	39
56	58	43	59	NoVerb	56
73	92	4	45	NoVerb	73
78	85	36	45	NoVerb	78
73	47	47	50	NoVerb	73
*	*	*	*	LateVerb	57
*	*	*	*	LateVerb	64
*	*	*	*	LateVerb	66
*	*	*	*	LateVerb	18
*	*	*	*	LateVerb	95
*	*	*	*	LateVerb	52
*	*	*	*	LateVerb	58
*	*	*	*	LateVerb	92
*	*	*	*	LateVerb	85
*	*	*	*	LateVerb	47
*	*	*	*	ContVerb	14
*	*	*	*	ContVerb	63
*	*	*	*	ContVerb	10
*	*	*	*	ContVerb	29
*	*	*	*	ContVerb	37
*	*	*	*	ContVerb	60
*	*	*	*	ContVerb	43
*	*	*	*	ContVerb	4
*	*	*	*	ContVerb	36
*	*	*	*	ContVerb	47
*	*	*	*	Radio	37
*	*	*	*	Radio	45
*	*	*	*	Radio	87
*	*	*	*	Radio	62
*	*	*	*	Radio	14
*	*	*	*	Radio	46
*	*	*	*	Radio	59
*	*	*	*	Radio	45
*	*	*	*	Radio	45
*	*	*	*	Radio	50
