YEAR	MONTH	PRICE
2010	Jan	1118
2010	Feb	1095.4
2010	Mar	1113.3
2010	Apr	1148.7
2010	May	1205.4
2010	Jun	1232.9
2010	Jul	1193
2010	Aug	1215.8
2010	Sep	1271.1
2010	Oct	1342
2010	Nov	1369.9
2010	Dec	1390.6
2011	Jan	1356.4
2011	Feb	1372.7
2011	Mar	1424
2011	Apr	1473.8
2011	May	1510.4
2011	Jun	1528.7
2011	Jul	1572.8
2011	Aug	1775.8
2011	Sep	1771.9
2011	Oct	1665.2
2011	Nov	1739
2011	Dec	1652.3
2012	Jan	1652.21
2012	Feb	1742.14
2012	Mar	1673.77
2012	Apr	1649.69
2012	May	1591.19
2012	Jun	1598.76
2012	Jul	1589.9
2012	Aug	1630.31
2012	Sep	1744.81
2012	Oct	1746.58
2012	Nov	1721.64
2012	Dec	1684.76
2013	Jan	1671.85
2013	Feb	1627.57
2013	Mar	1593.09
2013	Apr	1487.86
2013	May	1414.03
2013	Jun	1343.35
2013	Jul	1285.52
2013	Aug	1351.74
2013	Sep	1348.6
2013	Oct	1316.58
2013	Nov	1275.86
2013	Dec	1221.51
2014	Jan	1244.27
2014	Feb	1299.58
2014	Mar	1336.08
2014	Apr	1298.45
2014	May	1288.74
2014	Jun	1279.1
2014	Jul	1310.59
2014	Aug	1295.13
2014	Sep	1236.55
2014	Oct	1222.49
2014	Nov	1175.33
2014	Dec	1200.62
2015	Jan	1250.75
2015	Feb	1227.08
2015	Mar	1178.63
2015	Apr	1198.93
2015	May	1198.63
2015	Jun	1181.5
2015	Jul	1128.31
2015	Aug	1117.93
2015	Sep	1124.77
2015	Oct	1159.25
2015	Nov	1086.44
2015	Dec	1068.25
2016	Jan	1097.91
2016	Feb	1199.5
2016	Mar	1245.14
2016	Apr	1242.26
2016	May	1260.95
2016	Jun	1276.4
2016	Jul	1336.65
2016	Aug	1340.17
2016	Sep	1326.61
2016	Oct	1266.55
2016	Nov	1238.35
2016	Dec	1157.36
2017	Jan	1192.1
2017	Feb	1234.2
2017	Mar	1231.42
2017	Apr	1266.88
2017	May	1246.04
2017	Jun	1260.26
2017	Jul	1236.85
2017	Aug	1283.04
2017	Sep	1314.07
2017	Oct	1279.51
2017	Nov	1281.9
2017	Dec	1264.45
