TEMP	MOLE	OXYDIFF	TEMP_MOLE
1000	0.0022	1.68	2.2
1000	0.017	1.69	17
1000	0.08	1.72	80
1100	0.0022	1.98	2.42
1100	0.017	1.99	18.7
1100	0.08	2.02	88
1200	0.0022	2.3	2.64
1200	0.017	2.31	20.4
1200	0.08	2.35	96
1300	0.0022	2.64	2.86
1300	0.017	2.65	22.1
1300	0.08	2.7	104
1400	0.0022	3	3.08
1400	0.017	3.01	23.8
1400	0.08	3.06	112
1500	0.0022	3.38	3.3
1500	0.017	3.39	25.5
1500	0.08	3.45	120
1600	0.0022	3.78	3.52
1600	0.017	3.79	27.2
1600	0.08	3.85	128
1700	0.0022	4.19	3.74
1700	0.017	4.21	28.9
1700	0.08	4.27	136
1800	0.0022	4.63	3.96
1800	0.017	4.64	30.6
1800	0.08	4.71	144
