TRTMNT	ID	MACHINE	ANGLE	LENGTH	RATIO
1	111	1	1	1	93.43
2	112	1	1	2	93.34
3	121	1	2	1	93.36
4	122	1	2	2	93.3
5	211	2	1	1	93.42
6	212	2	1	2	92.23
7	221	2	2	1	94.26
8	222	2	2	2	94.04
9	111	1	1	1	93.36
10	112	1	1	2	93.3
11	121	1	2	1	93.47
12	122	1	2	2	93.43
13	211	2	1	1	93.44
14	212	2	1	2	92.48
15	221	2	2	1	94.17
16	222	2	2	2	94.77
17	111	1	1	1	93.08
18	112	1	1	2	92.86
19	121	1	2	1	93.33
20	122	1	2	2	93.34
21	211	2	1	1	92.8
22	212	2	1	2	92.03
23	221	2	2	1	94.04
24	222	2	2	2	94.27
