Year	Market	Winner	WWBID	LFWBID	LFCBID	District
1983	TRI-COUNTY	MEYER	0.126	0.126	*	91
1983	TRI-COUNTY	TRAUTH	0.1495	0.1395	*	452
1983	SURROUND	HILL'S DAIRY	0.14	0.135	0.143	101
1983	TRI-COUNTY	TRAUTH	0.1193	0.1113	*	32
1983	TRI-COUNTY	MEYER	0.1094	0.1094	0.1094	134
1983	SURROUND	CLOVERLEAF	0.12	*	*	13
1983	SURROUND	CLOVERLEAF	0.12	0.11	0.11	171
1983	SURROUND	BORDEN	0.12	0.119	0.119	593
1983	SURROUND	TRAUTH	*	0.1143	0.1143	241
1983	SURROUND	CLOVERLEAF	0.12	0.11	0.11	335
1983	SURROUND	FLAV-O-RICH	0.1225	0.1225	0.1225	393
1983	SURROUND	CLOVERLEAF	0.12	*	0.11	455
1983	SURROUND	FLAV-O-RICH	0.129	0.122	0.122	471
1983	TRI-COUNTY	TRAUTH	0.1064	0.1064	*	26
1983	TRI-COUNTY	MEYER	0.1074	0.1074	0.1074	35
1983	TRI-COUNTY	MEYER	*	0.0987	*	157
1983	TRI-COUNTY	TRAUTH	0.111	0.101	0.101	176
1983	TRI-COUNTY	MEYER	*	0.1026	0.1026	291
1983	TRI-COUNTY	MEYER	0.1095	0.1095	0.1095	354
1983	SURROUND	WILSON DIST.	0.1375	0.133	0.1425	191
1983	SURROUND	ROYAL CREST	0.137	0.1116	0.1325	441
1983	SURROUND	CLOVERLEAF	0.125	0.125	0.125	505
1983	SURROUND	THOMPSON-GLASS	0.13	0.12	0.125	561
1983	TRI-COUNTY	TRAUTH	0.1293	0.1215	*	452
1984	SURROUND	CLOVERLEAF	0.127	0.127	0.127	441
1984	TRI-COUNTY	TRAUTH	0.1325	0.1225	*	452
1984	SURROUND	HILL'S DAIRY	0.1421	0.1377	0.1458	101
1984	SURROUND	CLOVERLEAF	0.1255	0.118	0.123	391
1984	SURROUND	CLOVERLEAF	0.127	0.117	0.117	393
1984	TRI-COUNTY	TRAUTH	0.1425	0.1325	*	32
1984	TRI-COUNTY	MEYER	0.139	0.139	0.139	35
1984	TRI-COUNTY	TRAUTH	0.1395	0.1395	0.125	91
1984	TRI-COUNTY	TRAUTH	*	0.1289	0.1289	291
1984	SURROUND	MEYER	0.135	0.125	0.1315	191
1984	SURROUND	SOUTHERN BELLE	*	0.112	0.112	241
1984	SURROUND	CLOVERLEAF	0.126	0.116	*	335
1984	SURROUND	MEYER	0.128	0.12	0.122	471
1984	TRI-COUNTY	TRAUTH	0.139	0.139	*	26
1984	TRI-COUNTY	MEYER	0.131	0.131	0.131	134
1984	TRI-COUNTY	MEYER	*	0.132	*	157
1984	TRI-COUNTY	TRAUTH	0.138	0.128	0.138	176
1984	TRI-COUNTY	MEYER	0.1462	0.1462	0.1462	354
1984	TRI-COUNTY	MEYER	*	0.1355	*	533
1984	TRI-COUNTY	TRAUTH	0.142	0.132	*	567
1984	SURROUND	CLOVERLEAF	0.125	*	*	13
1984	SURROUND	CLOVERLEAF	0.125	0.118	0.122	171
1984	SURROUND	BORDEN	0.1225	0.1154	0.1145	593
1984	SURROUND	CLOVERLEAF	0.125	0.125	0.125	505
1984	SURROUND	THOMPSON-GLASS	0.1295	0.12	0.125	561
1985	SURROUND	BORDEN	0.125	0.125	0.125	441
1985	TRI-COUNTY	TRAUTH	0.131	0.129	*	452
1985	SURROUND	CLOVERLEAF	0.129	0.119	0.124	393
1985	TRI-COUNTY	TRAUTH	0.145	0.135	*	32
1985	TRI-COUNTY	MEYER	0.141	0.141	0.141	35
1985	TRI-COUNTY	TRAUTH	0.1393	0.1393	*	91
1985	TRI-COUNTY	MEYER	0.1445	0.1345	0.1395	147
1985	TRI-COUNTY	TRAUTH	*	0.1299	0.1299	291
1985	TRI-COUNTY	TRAUTH	0.1435	0.1335	*	567
1985	SURROUND	FRENCH DIST.	0.129	0.125	0.138	101
1985	SURROUND	CLOVERLEAF	0.129	0.122	0.126	171
1985	SURROUND	TRAUTH	*	0.1079	0.1079	241
1985	SURROUND	CLOVERLEAF	0.131	0.121	*	335
1985	SURROUND	MEYER	0.1225	0.113	0.1099	435
1985	SURROUND	BORDEN	0.1225	*	0.12	455
1985	SURROUND	TRAUTH	0.123	0.113	0.112	471
1985	SURROUND	MEYER	0.125	0.1145	0.114	495
1985	SURROUND	CLOVERLEAF	0.1275	0.125	0.125	505
1985	TRI-COUNTY	TRAUTH	0.144	0.144	*	26
1985	TRI-COUNTY	MEYER	0.134	0.134	0.134	134
1985	TRI-COUNTY	MEYER	*	0.1345	*	157
1985	TRI-COUNTY	TRAUTH	0.1449	0.1349	0.1399	176
1985	TRI-COUNTY	MEYER	0.148	0.148	0.148	354
1985	TRI-COUNTY	MEYER	*	0.138	*	533
1985	SURROUND	CLOVERLEAF	0.13	*	*	13
1985	SURROUND	MEYER	0.128	0.125	0.1315	191
1985	SURROUND	TRAUTH	0.12	0.111	0.109	201
1985	SURROUND	BORDEN	0.12	0.11	0.1085	593
1985	SURROUND	THOMPSON-GLASS	0.1275	0.118	0.123	561
1986	TRI-COUNTY	TRAUTH	0.136	0.132	*	452
1986	SURROUND	HILL'S DAIRY	0.1275	0.1195	0.122	101
1986	SURROUND	CLOVERLEAF	0.1275	0.1205	0.123	391
1986	SURROUND	CLOVERLEAF	0.1315	0.1215	0.1265	393
1986	TRI-COUNTY	TRAUTH	0.142	0.142	*	91
1986	TRI-COUNTY	MEYER	0.139	0.139	0.139	134
1986	TRI-COUNTY	TRAUTH	0.1474	0.1374	0.1424	176
1986	TRI-COUNTY	TRAUTH	*	0.1349	0.1349	291
1986	TRI-COUNTY	MEYER	*	0.143	*	533
1986	SURROUND	SOUTHERN BELLE	0.1225	0.1125	0.1125	171
1986	SURROUND	MEYER	0.135	0.125	0.1315	191
1986	SURROUND	TRAUTH	0.1224	0.1124	0.111	201
1986	SURROUND	BORDEN	0.117	0.11	0.1085	593
1986	SURROUND	TRAUTH	*	0.111	0.111	241
1986	SURROUND	CLOVERLEAF	0.1335	0.1235	*	335
1986	SURROUND	WESTOVER	0.1165	0.1065	0.1075	435
1986	SURROUND	CLOVERLEAF	0.12	0.124	0.107	441
1986	SURROUND	BORDEN	0.1195	*	0.1085	455
1986	SURROUND	TRAUTH	0.125	0.1125	0.1115	471
1986	SURROUND	LICKING VALLEY	0.133	0.124	0.128	481
1986	SURROUND	WESTOVER	0.1249	0.119	0.119	495
1986	TRI-COUNTY	TRAUTH	0.1475	0.1475	*	26
1986	TRI-COUNTY	TRAUTH	0.1469	0.1369	*	32
1986	TRI-COUNTY	MEYER	0.144	0.134	0.1395	35
1986	TRI-COUNTY	MEYER	0.147	0.137	0.142	147
1986	TRI-COUNTY	MEYER	*	0.138	*	157
1986	TRI-COUNTY	MEYER	0.1505	0.1505	0.1505	354
1986	TRI-COUNTY	TRAUTH	0.146	0.136	*	567
1986	SURROUND	CLOVERLEAF	0.1325	*	*	13
1986	SURROUND	TRAUTH	0.133	0.124	0.129	55
1986	SURROUND	CLOVERLEAF	0.13	0.1275	0.1275	505
1986	SURROUND	THOMPSON-GLASS	0.12	0.11	0.115	561
1987	TRI-COUNTY	MEYER	0.1475	0.1375	0.1425	134
1987	SURROUND	THOMPSON	0.125	0.113	0.118	101
1987	SURROUND	CLOVERLEAF	0.1365	0.1265	0.1315	393
1987	SURROUND	FLAV-O-RICH	0.125	0.119	0.119	441
1987	TRI-COUNTY	MEYER	0.1475	0.1375	0.1425	35
1987	TRI-COUNTY	TRAUTH	0.1495	0.1495	*	91
1987	TRI-COUNTY	MEYER	*	0.1405	*	157
1987	TRI-COUNTY	TRAUTH	0.1495	0.1405	0.1455	176
1987	TRI-COUNTY	TRAUTH	0.1495	0.1405	0.1405	291
