RK	Team	League	G	AB	RUNS	HITS	DOUBLES	TRIPLES	HOMERUNS	RBI	WALKS	STRIKEOUTS	STOLEBASES	CAUGHTSTEAL	AVG?	OBP	SLG	OPS	IBB	HBP	SAC	SF	TB	XBH	GDP	GRNDOUTS	AO	GO_AO	NP	PA	SINGLES
1	Houston Astros	AL	162	5611	896	1581	346	20	238	854	509	1087	98	42	0.282	0.346	0.478	0.823	27	70	11	61	2681	604	139	1633	1521	1.07	23749	6271	977
2	Colorado Rockies	AL	162	5534	824	1510	293	38	192	793	519	1408	59	34	0.273	0.338	0.444	0.781	46	44	62	41	2455	523	143	1640	1222	1.34	23940	6201	987
3	Miami Marlins	AL	162	5602	778	1497	271	31	194	743	486	1282	91	30	0.267	0.331	0.431	0.761	48	67	50	41	2412	496	119	1789	1244	1.44	23905	6248	1001
4	Washington Nationals	AL	162	5553	819	1477	311	31	215	796	542	1327	108	30	0.266	0.332	0.449	0.782	56	31	43	45	2495	557	116	1539	1414	1.09	24299	6214	920
5	Cleveland Indians	AL	162	5511	818	1449	333	29	212	780	604	1153	88	23	0.263	0.339	0.449	0.788	30	50	23	45	2476	574	125	1610	1492	1.08	24759	6234	875
6	Atlanta Braves	AL	162	5584	732	1467	289	26	165	706	474	1184	77	31	0.263	0.326	0.412	0.738	57	66	59	32	2303	480	137	1815	1346	1.35	23315	6216	987
7	New York Yankees	AL	162	5594	858	1463	266	23	241	821	616	1386	90	22	0.262	0.339	0.447	0.785	22	64	18	56	2498	530	119	1522	1418	1.07	25306	6354	933
8	Baltimore Orioles	AL	162	5650	743	1469	269	12	232	713	392	1412	32	13	0.26	0.312	0.435	0.747	12	50	10	37	2458	513	138	1555	1399	1.11	23674	6140	956
9	Minnesota Twins	AL	162	5557	815	1444	286	31	206	781	593	1342	95	28	0.26	0.334	0.434	0.768	26	46	26	39	2410	523	105	1480	1461	1.01	24887	6261	921
10	Kansas City Royals	AL	162	5536	702	1436	260	24	193	660	390	1166	91	31	0.259	0.311	0.42	0.731	19	45	17	37	2323	477	160	1591	1557	1.02	22861	6027	959
11	Seattle Mariners	AL	162	5551	750	1436	281	17	200	714	487	1267	89	35	0.259	0.325	0.424	0.749	31	78	14	35	2351	498	131	1575	1453	1.08	23881	6166	938
12	Detroit Tigers	AL	162	5556	735	1435	289	35	187	699	503	1313	65	34	0.258	0.324	0.424	0.748	21	52	11	27	2355	511	128	1526	1450	1.05	24123	6150	924
13	Boston Red Sox	AL	162	5669	785	1461	302	19	168	735	571	1224	106	31	0.258	0.329	0.407	0.736	48	53	9	36	2305	489	141	1697	1475	1.15	25017	6338	972
14	St. Louis Cardinals	AL	162	5470	761	1402	284	28	196	728	593	1348	81	31	0.256	0.334	0.426	0.76	36	65	47	44	2330	508	139	1568	1384	1.13	24475	6219	894
15	Chicago White Sox	AL	162	5513	706	1412	256	37	186	670	401	1397	71	31	0.256	0.314	0.417	0.731	17	76	35	33	2300	479	124	1606	1290	1.24	23244	6059	933
16	Chicago Cubs	AL	162	5496	822	1402	274	29	223	785	622	1401	62	31	0.255	0.338	0.437	0.775	54	82	48	32	2403	526	134	1635	1272	1.29	24352	6283	876
17	Arizona Diamondbacks	AL	162	5525	812	1405	314	39	220	776	578	1456	103	30	0.254	0.329	0.445	0.774	44	54	39	27	2457	573	106	1547	1289	1.2	24412	6224	832
18	Cincinnati Reds	AL	162	5484	753	1390	249	38	219	715	565	1329	120	39	0.253	0.329	0.433	0.761	41	72	50	42	2372	506	116	1588	1385	1.15	23921	6213	884
19	New York Mets	AL	162	5510	735	1379	286	28	224	713	529	1291	58	23	0.25	0.32	0.434	0.755	31	57	36	37	2393	538	118	1465	1566	0.94	24000	6169	841
20	Philadelphia Phillies	AL	162	5535	690	1382	287	36	174	654	494	1417	59	25	0.25	0.315	0.409	0.723	25	47	21	36	2263	497	128	1613	1308	1.23	24133	6133	885
21	Milwaukee Brewers	AL	162	5467	732	1363	267	22	224	695	547	1571	128	41	0.249	0.322	0.429	0.751	34	53	42	26	2346	513	116	1523	1194	1.28	24245	6135	850
