NITRO	AMMON
18.87	67.4
17.01	12.49
23.88	61.96
10.45	15.63
36.03	83.66
39.38	69.29
22.09	41.11
14.3	25.46
15.41	38.73
25.78	44.53
14.54	19.94
34.21	75.09
36.52	56.56
29.74	67.16
31.16	37.66
21.37	51.14
14.98	38.44
16.38	16.6
11.3	16.58
28.58	41.92
105.51	162.21
81.94	136.69
111.59	201.52
90.34	157.84
85.42	148.19
116.68	176.79
117.77	192.69
94.27	141.33
113.65	186.27
114.67	213.7
101.34	153.59
85.96	143
105.1	138.82
99.63	168.21
99.13	172.19
115.26	191.5
114.25	190.24
98.99	164.76
101.06	141.6
102.68	179.05
85.93	173.78
108.2	198.88
111.57	175.6
109.44	177.71
90.11	153.83
94.06	163.68
101.54	164.71
106.2	150
95.71	146.68
118.17	189.52
80.92	135.91
80.2	134.8
105.24	155.07
99.09	162.63
82.84	135.15
88.77	181.84
118.44	186.73
84	167.31
85.72	150.01
94.56	158.58
50.02	60.98
56.86	121.33
57.11	96.44
46.56	98.84
61.67	122.48
67.08	71.93
41.09	59.15
76.49	123.7
60.64	110.56
67.92	105.26
46.28	81.2
53.04	74.29
45.66	70.93
70.38	121.78
65.79	98.64
47.92	78.42
66.53	94.19
62.83	91.29
43.89	95.4
54.6	54.08
75.49	126.31
66.3	109.95
72.58	91.66
76.92	157.86
61.03	107.91
68.44	108.75
69.01	98.32
69.51	104.85
59.37	69.51
76.11	124.29
70.07	125.89
46	91.51
73.92	111.93
45.51	66.5
63.68	108.79
56.56	111.8
75.18	114.65
77.97	137.84
48.89	105.94
61.48	113.29
41.15	86.8
75.12	122.28
74.06	130.51
49.64	91.8
44.23	77.04
59.95	98.34
56.22	100.73
54.03	101.74
71.5	132.59
53.07	84.64
66.18	122.29
74.37	137.87
65.83	99.59
78.93	134.18
46.62	111.66
73.47	120.83
55.31	99.24
69.73	112.43
59.41	85.81
66.17	103.49
