Study	EffSize	Provo	TypeAgg	OptAgg
1	0.0568	1	2	1
2	0.1186	2	2	1
3	0.6244	1	2	1
4	0.0553	2	2	1
5	-0.0422	2	2	1
6	-0.2211	1	2	2
7	-0.1307	2	2	1
8	0.971	1	2	1
9	0.9395	2	2	1
10	0.2435	1	2	2
11	0.1834	2	2	2
12	-0.0294	1	2	2
13	0.3168	2	2	2
14	0.3005	1	2	2
15	0.6385	2	2	2
16	-0.1196	1	2	2
17	0.3119	2	2	2
18	0.0514	1	2	2
19	0.0764	2	2	2
20	2.2142	1	2	1
21	5.0547	2	2	1
22	0.4406	1	2	1
23	1.1651	2	2	1
24	0.2139	1	2	1
25	0.6744	2	2	1
26	0.017	1	2	1
27	1.454	2	2	1
28	0.4504	1	2	1
29	3.0292	2	2	1
30	0.6994	1	2	1
31	1.614	2	2	1
32	0.5016	1	2	1
33	1.1195	2	2	1
34	0.3864	1	2	1
35	0.4293	2	2	1
36	0.03	1	2	1
37	0.8619	2	2	1
38	-0.0922	1	2	1
39	0.9714	2	2	1
40	0.6164	2	2	1
41	0.766	2	3	1
42	1.1384	2	2	2
43	-1.0902	1	2	2
44	0.7347	2	2	2
45	-0.3393	1	2	1
46	0.0338	2	2	1
47	0.8681	2	2	2
48	0.2607	2	2	2
49	2.3813	2	3	2
50	1.5913	2	3	2
51	1.0861	2	2	1
52	0.7126	2	2	1
53	0.5658	1	2	1
54	0.6054	2	2	1
55	0.4042	2	2	1
56	0.9164	2	2	1
57	0.2596	2	2	1
58	6.037	1	2	1
59	0.5586	2	2	1
60	0.1956	1	2	2
61	0.6049	2	2	2
62	0.847	1	2	2
63	0.3431	2	2	2
64	-0.4499	1	2	1
65	0.066	2	2	1
66	0.8712	2	2	2
67	1.0558	2	2	2
68	0.51	1	2	2
69	1.206	1	1	2
70	0.4237	1	2	1
71	0.6154	1	2	1
72	0.6023	1	2	2
73	0.4637	2	2	2
74	-0.335	1	2	1
75	0.6633	2	2	1
76	0.5211	2	2	2
77	-0.2491	1	2	1
78	0.415	2	2	1
79	0.9818	1	2	1
80	0.8938	2	2	1
81	0.8229	2	2	1
82	0.6452	1	2	2
83	0.2591	2	2	2
84	0.2966	1	2	1
85	1.2432	2	2	1
86	0.1283	1	2	1
87	-0.0964	2	2	1
88	0.1255	1	2	1
89	0.148	2	2	1
90	0.714	1	2	1
91	1.3513	1	2	1
92	0.3861	1	2	1
93	0.0298	2	2	1
94	0.5392	1	3	2
95	0.8161	2	3	2
96	1.1847	2	2	2
97	-0.3312	1	2	2
98	0.9062	2	2	2
99	0.7403	2	1	2
100	0.475	2	1	2
101	0.3731	2	1	2
102	1.2344	2	1	2
103	-0.1016	1	3	2
104	1.2583	2	2	2
105	0.8907	2	2	2
106	0.9433	2	2	2
107	0.4466	2	2	2
108	0.5776	2	2	2
109	0.6558	2	2	1
