julian-date	depth	broadband-alb	visible-alb	pond-num	icetype
147	0.09	0.4	0.62	1	Landfast
147	0	0.51	0.64	2	Landfast
148	0.03	0.48	0.67	3	First-Year
148	0.03	0.42	0.59	4	First-Year
148	0.04	0.43	0.56	5	First-Year
148	0.02	0.44	0.59	6	First-Year
148	0.02	0.51	0.67	7	First-Year
149	0.04	0.35	0.52	8	First-Year
149	0.03	0.42	0.62	9	First-Year
149	0.13	0.38	0.5	10	Multi-Year
149	0.07	0.31	0.49	11	Multi-Year
149	0.08	0.31	0.5	12	Multi-Year
149	0.13	0.29	0.45	13	Multi-Year
149	0.1	0.28	0.45	14	Multi-Year
149	0.05	0.49	0.66	15	First-Year
149	0.02	0.46	0.59	16	First-Year
150	0.41	0.21	0.32	17	Multi-Year
150	0.12	0.3	0.46	18	Multi-Year
150	0.09	0.14	0.19	19	Multi-Year
150	0.11	0.25	0.38	20	Multi-Year
150	0.1	0.33	0.51	21	Multi-Year
150	0.12	0.34	0.55	22	Multi-Year
150	0.12	0.32	0.53	23	Multi-Year
150	0.12	0.35	0.58	24	Multi-Year
150	0.1	0.4	0.64	25	Multi-Year
150	0.09	0.36	0.56	26	Multi-Year
150	0.02	0.5	0.66	27	First-Year
150	0.05	0.45	0.65	28	First-Year
150	0.04	0.46	0.65	29	First-Year
150	0.03	0.51	0.69	30	First-Year
150	0.03	0.43	0.6	31	First-Year
150	0.04	0.4	0.57	32	First-Year
150	0.06	0.38	0.54	33	First-Year
150	0.06	0.32	0.46	34	First-Year
151	0.13	0.26	0.43	35	Multi-Year
151	0.18	0.24	0.4	36	Multi-Year
151	0.18	0.24	0.4	37	Multi-Year
151	0.15	0.22	0.36	38	Multi-Year
151	0.14	0.35	0.6	39	Multi-Year
151	0.13	0.37	0.62	40	Multi-Year
151	0.12	0.42	0.62	41	Multi-Year
151	0.11	0.27	0.46	42	Multi-Year
151	0.14	0.29	0.49	43	Multi-Year
151	0.17	0.37	0.63	44	Multi-Year
151	0.18	0.29	0.5	45	Multi-Year
151	0.21	0.33	0.58	46	Multi-Year
151	0.17	0.39	0.67	47	Multi-Year
151	0.12	0.32	0.53	48	Multi-Year
151	0.11	0.36	0.59	49	Multi-Year
151	0.14	0.37	0.63	50	Multi-Year
151	0.14	0.31	0.53	51	Multi-Year
151	0.07	0.34	0.57	52	Landfast
151	0.08	0.33	0.55	53	Landfast
151	0.18	0.31	0.54	54	Landfast
151	0.21	0.3	0.53	55	Landfast
151	0.18	0.31	0.55	56	Landfast
151	0.22	0.21	0.39	57	Landfast
151	0.27	0.21	0.4	58	Landfast
151	0.32	0.2	0.37	59	Landfast
151	0.33	0.12	0.23	60	Landfast
151	0.06	0.33	0.55	61	Landfast
151	0.05	0.43	0.68	62	Landfast
151	0.4	0.26	0.48	63	Landfast
151	0.51	0.24	0.47	64	Landfast
151	0.72	0.24	0.46	65	Landfast
151	0.79	0.22	0.44	66	Landfast
151	0.86	0.23	0.46	67	Landfast
153	0.1	0.24	0.37	68	Landfast
153	0.08	0.25	0.37	69	Landfast
153	0.04	0.26	0.38	70	Landfast
153	0.08	0.28	0.42	71	Landfast
153	0.09	0.36	0.5	72	Landfast
153	0.21	0.28	0.43	73	Landfast
153	0.08	0.26	0.4	74	Landfast
153	0.1	0.26	0.4	75	Landfast
153	0.26	0.17	0.27	76	Landfast
153	0.1	0.23	0.35	77	Landfast
153	0.24	0.3	0.49	78	Landfast
153	0.18	0.19	0.3	79	Landfast
153	0.09	0.18	0.28	80	Landfast
153	0.09	0.26	0.41	81	Landfast
154	0.18	0.36	0.58	82	Landfast
154	0.26	0.33	0.55	83	Landfast
154	0.32	0.33	0.56	84	Landfast
154	0.4	0.33	0.57	85	Landfast
154	0.39	0.36	0.62	86	Landfast
154	0.36	0.34	0.59	87	Landfast
154	0.39	0.3	0.51	88	Landfast
154	0.35	0.32	0.54	89	Landfast
154	0.36	0.32	0.54	90	Landfast
154	0.28	0.33	0.56	91	Landfast
154	0.26	0.35	0.6	92	Landfast
154	0.25	0.4	0.67	93	Landfast
154	0.31	0.22	0.37	94	Landfast
154	0.37	0.32	0.55	95	Landfast
154	0.21	0.25	0.4	96	Landfast
154	0.11	0.37	0.56	97	Landfast
154	0.28	0.31	0.49	98	Landfast
154	0.5	0.25	0.43	99	Landfast
154	0.56	0.23	0.39	100	Landfast
154	0.65	0.27	0.47	101	Landfast
154	0.56	0.23	0.4	102	Landfast
154	0.59	0.24	0.41	103	Landfast
154	0.61	0.23	0.39	104	Landfast
154	0.3	0.28	0.47	105	Landfast
154	0.69	0.25	0.43	106	Landfast
154	0.66	0.26	0.43	107	Landfast
154	0.17	0.3	0.49	108	Multi-Year
154	0.16	0.34	0.55	109	Multi-Year
154	0.08	0.33	0.5	110	Multi-Year
154	0.1	0.29	0.44	111	Multi-Year
154	0.12	0.29	0.45	112	Multi-Year
154	0.31	0.24	0.38	113	Multi-Year
154	0.35	0.23	0.35	114	Multi-Year
154	0.33	0.26	0.41	115	Multi-Year
154	0.32	0.3	0.49	116	Multi-Year
154	0.28	0.31	0.5	117	Multi-Year
154	0.31	0.3	0.48	118	Multi-Year
155	0.26	0.18	0.34	119	Multi-Year
155	0.26	0.2	0.38	120	Multi-Year
155	0.28	0.21	0.4	121	Multi-Year
155	0.26	0.21	0.39	122	Multi-Year
155	0.3	0.21	0.4	123	Multi-Year
155	0.31	0.21	0.39	124	Multi-Year
155	0.36	0.19	0.36	125	Multi-Year
155	0.38	0.18	0.35	126	Multi-Year
155	0.39	0.18	0.35	127	Multi-Year
155	0.33	0.18	0.34	128	Multi-Year
155	0.26	0.21	0.39	129	Multi-Year
155	0.24	0.22	0.41	130	Multi-Year
155	0.25	0.2	0.39	131	Multi-Year
155	0.2	0.21	0.4	132	Multi-Year
155	0.25	0.22	0.42	133	Multi-Year
155	0.36	0.17	0.33	134	Multi-Year
155	0.39	0.18	0.34	135	Multi-Year
155	0.36	0.18	0.34	136	Multi-Year
155	0.32	0.17	0.33	137	Multi-Year
155	0.25	0.24	0.45	138	Multi-Year
155	0.28	0.22	0.41	139	Multi-Year
155	0.09	0.13	0.23	140	Landfast
155	0.13	0.23	0.4	141	Landfast
155	0.07	0.29	0.45	142	Landfast
155	0.11	0.22	0.33	143	Landfast
155	0.1	0.16	0.29	144	Landfast
155	0.07	0.23	0.38	145	Landfast
155	0.69	0.14	0.27	146	Landfast
155	0.18	0.32	0.57	147	Landfast
155	0.35	0.18	0.32	148	Landfast
155	0.37	0.17	0.31	149	Landfast
155	0.51	0.14	0.25	150	Landfast
155	0.67	0.14	0.25	151	Landfast
155	0.67	0.13	0.24	152	Landfast
155	0.62	0.14	0.25	153	Landfast
155	0.55	0.16	0.26	154	Landfast
155	0.44	0.16	0.27	155	Landfast
155	0.66	0.15	0.27	156	Landfast
155	0.25	0.17	0.28	157	Landfast
156	0.28	0.23	0.43	158	Landfast
156	0.42	0.2	0.38	159	Landfast
156	0.28	0.3	0.54	160	Landfast
156	0.23	0.33	0.59	161	Landfast
156	0.26	0.3	0.55	162	Landfast
156	0.5	0.16	0.3	163	Landfast
156	0.54	0.2	0.39	164	Landfast
156	0.62	0.17	0.33	165	Landfast
156	0.64	0.17	0.32	166	Landfast
156	0	0.75	0.77	167	Landfast
156	0	0.44	0.55	168	Landfast
156	0	0.47	0.64	169	Landfast
156	0.1	0.35	0.58	170	Landfast
156	0.18	0.27	0.47	171	Landfast
156	0.13	0.28	0.47	172	Landfast
156	0.22	0.23	0.41	173	Landfast
156	0.16	0.23	0.4	174	Landfast
156	0.25	0.26	0.45	175	Landfast
156	0.56	0.18	0.33	176	Landfast
156	0.57	0.19	0.34	177	Landfast
156	0.47	0.2	0.36	178	Landfast
156	0.54	0.19	0.34	179	Landfast
156	0.61	0.16	0.29	180	Landfast
156	0.56	0.16	0.28	181	Landfast
156	0.33	0.21	0.37	182	Landfast
156	0.51	0.16	0.29	183	Landfast
156	0.43	0.2	0.37	184	Landfast
156	0.41	0.23	0.42	185	Landfast
156	0.63	0.11	0.19	186	Landfast
156	0.19	0.25	0.45	187	Landfast
156	0.34	0.24	0.43	188	Landfast
156	0.55	0.18	0.34	189	Landfast
156	0.28	0.09	0.17	190	Landfast
156	0.16	0.26	0.44	191	Landfast
156	0	0.59	0.72	192	Landfast
156	0	0.45	0.62	193	Landfast
156	0	0.57	0.7	194	Landfast
156	0	0.59	0.73	195	Landfast
156	0	0.5	0.6	196	Landfast
158	0.24	0.22	0.39	197	Multi-Year
158	0.24	0.27	0.47	198	Multi-Year
158	0.23	0.27	0.47	199	Multi-Year
158	0.25	0.3	0.52	200	Multi-Year
158	0.27	0.28	0.5	201	Multi-Year
158	0.36	0.24	0.41	202	Multi-Year
158	0.33	0.28	0.49	203	Multi-Year
158	0.42	0.26	0.46	204	Multi-Year
158	0.3	0.24	0.42	205	Multi-Year
158	0.35	0.27	0.48	206	Multi-Year
158	0.33	0.32	0.56	207	Multi-Year
158	0.42	0.24	0.42	208	Multi-Year
158	0.4	0.25	0.44	209	Multi-Year
158	0.37	0.28	0.49	210	Multi-Year
162	0.18	0.18	0.29	211	First-Year
162	0.19	0.17	0.27	212	First-Year
162	0.18	0.19	0.29	213	First-Year
162	0.12	0.23	0.39	214	Multi-Year
162	0.14	0.27	0.44	215	Multi-Year
162	0.24	0.21	0.33	216	Multi-Year
162	0.27	0.22	0.35	217	Multi-Year
162	0.25	0.19	0.35	218	Landfast
162	0.32	0.21	0.4	219	Landfast
162	0.32	0.2	0.38	220	Landfast
162	0.35	0.16	0.3	221	Landfast
162	0.41	0.17	0.32	222	Landfast
162	0.34	0.24	0.37	223	Landfast
162	0.34	0.12	0.22	224	Landfast
162	0.28	0.09	0.17	225	Landfast
163	0.36	0.2	0.35	226	Landfast
163	0.39	0.19	0.34	227	Landfast
163	0.44	0.19	0.35	228	Landfast
163	0.51	0.19	0.35	229	Landfast
163	0.36	0.18	0.34	230	Landfast
163	0.5	0.17	0.32	231	Landfast
163	0.69	0.17	0.31	232	Landfast
163	0.36	0.17	0.3	233	Landfast
163	0.45	0.17	0.32	234	Landfast
163	0.57	0.16	0.29	235	Landfast
163	0.22	0.22	0.41	236	Landfast
163	0.28	0.09	0.16	237	Landfast
163	0.27	0.09	0.17	238	Landfast
164	0.14	0.1	0.17	239	Landfast
164	0.18	0.1	0.17	240	Landfast
164	0.22	0.13	0.23	241	Landfast
164	0.17	0.11	0.2	242	Landfast
164	0.17	0.08	0.13	243	Landfast
164	0.15	0.08	0.13	244	Landfast
164	0.14	0.08	0.15	245	Landfast
164	0.29	0.27	0.49	246	Landfast
164	0.14	0.28	0.51	247	Landfast
164	0.23	0.14	0.26	248	Landfast
164	0.19	0.1	0.17	249	Landfast
164	0.15	0.08	0.14	250	Landfast
164	0.22	0.15	0.26	251	Landfast
164	0.33	0.1	0.18	252	Landfast
164	0.36	0.25	0.45	253	Landfast
164	0.26	0.19	0.35	254	Landfast
164	0.41	0.18	0.34	255	Landfast
164	0.14	0.05	0.09	256	Landfast
164	0.19	0.13	0.24	257	Landfast
164	0.14	0.06	0.1	258	Landfast
164	0.2	0.1	0.19	259	Landfast
164	0.25	0.1	0.18	260	Landfast
165	0.13	0.18	0.33	261	Multi-Year
165	0.28	0.12	0.22	262	Multi-Year
165	0.28	0.14	0.26	263	Multi-Year
165	0.64	0.07	0.14	264	Multi-Year
165	0.27	0.16	0.3	265	Multi-Year
165	0.24	0.18	0.34	266	Multi-Year
165	0.23	0.17	0.31	267	Multi-Year
165	0.23	0.19	0.35	268	Multi-Year
165	0.21	0.16	0.3	269	Multi-Year
165	0.23	0.17	0.33	270	Multi-Year
165	0.23	0.15	0.3	271	Multi-Year
165	0.27	0.13	0.25	272	Multi-Year
165	0.28	0.16	0.31	273	Multi-Year
165	0.27	0.14	0.27	274	Multi-Year
165	0.3	0.13	0.25	275	Multi-Year
165	0.24	0.18	0.33	276	Multi-Year
165	0.29	0.14	0.28	277	Multi-Year
165	0.26	0.16	0.3	278	Multi-Year
165	0.26	0.19	0.36	279	Multi-Year
165	0.27	0.18	0.34	280	Multi-Year
165	0.25	0.21	0.4	281	Multi-Year
165	0.25	0.19	0.36	282	Multi-Year
165	0.27	0.18	0.34	283	Multi-Year
165	0.26	0.17	0.33	284	Multi-Year
165	0.23	0.19	0.36	285	Multi-Year
165	0.2	0.19	0.37	286	Multi-Year
165	0.25	0.2	0.39	287	Multi-Year
165	0.24	0.19	0.36	288	Multi-Year
165	0.28	0.16	0.3	289	Multi-Year
165	0.48	0.21	0.41	290	Multi-Year
165	0.54	0.2	0.38	291	Multi-Year
165	0.53	0.19	0.38	292	Multi-Year
165	0.55	0.2	0.39	293	Multi-Year
165	0.62	0.23	0.46	294	Multi-Year
165	0.63	0.23	0.44	295	Multi-Year
165	0.63	0.21	0.41	296	Multi-Year
165	0.64	0.21	0.42	297	Multi-Year
165	0.61	0.21	0.4	298	Multi-Year
165	0.61	0.21	0.41	299	Multi-Year
165	0.6	0.2	0.4	300	Multi-Year
165	0.6	0.2	0.4	301	Multi-Year
165	0.59	0.2	0.4	302	Multi-Year
165	0.32	0.17	0.34	303	Multi-Year
165	0.32	0.18	0.36	304	Multi-Year
165	0.3	0.19	0.38	305	Multi-Year
165	0.31	0.17	0.33	306	Multi-Year
165	0.31	0.22	0.42	307	Multi-Year
165	0.2	0.22	0.43	308	Multi-Year
165	0.18	0.21	0.4	309	Multi-Year
165	0.22	0.19	0.37	310	Multi-Year
168	0.18	0.16	0.31	311	Multi-Year
168	0.17	0.15	0.28	312	Multi-Year
168	0.16	0.19	0.35	313	Multi-Year
168	0.15	0.22	0.41	314	Multi-Year
168	0.2	0.17	0.31	315	Multi-Year
168	0.19	0.17	0.31	316	Multi-Year
168	0.32	0.15	0.28	317	Multi-Year
168	0.13	0.18	0.33	318	Multi-Year
168	0.12	0.16	0.3	319	Multi-Year
168	0.14	0.19	0.33	320	Multi-Year
168	0.14	0.18	0.34	321	Multi-Year
168	0.2	0.19	0.35	322	Multi-Year
168	0.13	0.17	0.32	323	Multi-Year
168	0.18	0.21	0.39	324	Multi-Year
168	0.17	0.25	0.45	325	Multi-Year
168	0.42	0.21	0.38	326	Multi-Year
168	0.26	0.22	0.4	327	Multi-Year
168	0.3	0.23	0.42	328	Multi-Year
168	0.2	0.23	0.42	329	Multi-Year
168	0.18	0.19	0.34	330	Multi-Year
168	0.16	0.19	0.34	331	Multi-Year
168	0.19	0.21	0.39	332	Multi-Year
168	0.32	0.16	0.28	333	Multi-Year
168	0.36	0.14	0.26	334	Multi-Year
168	0.22	0.18	0.33	335	Multi-Year
168	0.25	0.18	0.32	336	Multi-Year
168	0.29	0.23	0.43	337	Multi-Year
168	0.3	0.2	0.36	338	Multi-Year
168	0.27	0.22	0.39	339	Multi-Year
168	0.17	0.17	0.32	340	Multi-Year
168	0.09	0.21	0.38	341	Multi-Year
168	0.11	0.22	0.39	342	Multi-Year
168	0.17	0.19	0.36	343	Multi-Year
168	0.17	0.22	0.4	344	Multi-Year
168	0.13	0.25	0.46	345	Multi-Year
168	0.21	0.06	0.12	346	Landfast
168	0.16	0.06	0.11	347	Landfast
168	0.2	0.07	0.13	348	Landfast
168	0.21	0.1	0.19	349	Landfast
