Year	Quarter	GDP
2011	1	14881.301
2011	2	14989.555
2011	3	15021.149
2011	4	15190.255
2012	1	15291.035
2012	2	15362.415
2012	3	15380.802
2012	4	15384.254
2013	1	15491.878
2013	2	15521.559
2013	3	15641.336
2013	4	15793.928
2014	1	15757.57
2014	2	15935.825
2014	3	16139.513
2014	4	16220.222
2015	1	16349.97
2015	2	16460.889
2015	3	16527.587
2015	4	16547.619
2016	1	16571.573
2016	2	16663.516
2016	3	16778.148
2016	4	16851.42
2017	1	16903.24
2017	2	17031.085
2017	3	17163.894
2017	4	17286.497
