RATIO	SUPPLY	PROFIT	SUPPLY_15	SUPPLY_18	SUPPLY_21	RATIO_0.5	RATIO_1.0	RATIO_2.0
0.5	15	23	1	0	0	1	0	0
0.5	15	20	1	0	0	1	0	0
0.5	15	21	1	0	0	1	0	0
0.5	18	22	0	1	0	1	0	0
0.5	18	19	0	1	0	1	0	0
0.5	18	20	0	1	0	1	0	0
0.5	21	19	0	0	1	1	0	0
0.5	21	18	0	0	1	1	0	0
0.5	21	21	0	0	1	1	0	0
1	15	22	1	0	0	0	1	0
1	15	20	1	0	0	0	1	0
1	15	19	1	0	0	0	1	0
1	18	24	0	1	0	0	1	0
1	18	25	0	1	0	0	1	0
1	18	22	0	1	0	0	1	0
1	21	20	0	0	1	0	1	0
1	21	19	0	0	1	0	1	0
1	21	22	0	0	1	0	1	0
2	15	18	1	0	0	0	0	1
2	15	18	1	0	0	0	0	1
2	15	16	1	0	0	0	0	1
2	18	21	0	1	0	0	0	1
2	18	23	0	1	0	0	0	1
2	18	20	0	1	0	0	0	1
2	21	20	0	0	1	0	0	1
2	21	22	0	0	1	0	0	1
2	21	24	0	0	1	0	0	1
