Cruise Ship	Cruise Line	Score 
Adonia	P&O Cruises	98
Adventure of the Seas	Royal Caribbean International	90
AIDAaura	Aida Cruises	86
AIDABella	Aida Cruises	98
AIDAdiva	Aida Cruises	100
AIDAluna	Aida Cruises	99
AIDAmar	Aida Cruises	94
AIDAVITA	Aida Cruises	97
Albatross	Phoenix Reissen Cruise Line	91
Allure of the Seas	Royal Caribbean International	97
Amadea	Phoenix Reissen Cruise Line	92
Amsterdam	Holland America Line	96
Anthem of the Seas	Royal Caribbean International	97
Arcadia	P&O Cruises	94
Artania 	Phoenix Reissen Cruise Line	89
Asuka II	"NYK Cruises Co., LTD"	97
Aurora	P&O Cruises	95
Azamara Journey	Azamara Cruises	94
Azamara Quest	Azamara Cruises	99
Azura	P&O Cruises	95
Balmoral	Fred Olsen Cruise Line	93
Braemar	Fred Olsen Cruise Line	95
Bremen	Hapag Lloyd Kreuzfahrten Gmbh	89
Brilliance of the Seas	Royal Caribbean International	96
Britannia	P&O Cruises	95
Caledonian Sky	Salen Ship Management AB	95
Caribbean Princess	Princess Cruises	97
Carnival Breeze	"Carnival Cruise Lines, Inc."	97
Carnival Conquest	"Carnival Cruise Lines, Inc."	89
Carnival Dream	"Carnival Cruise Lines, Inc."	87
Carnival Ecstasy	"Carnival Cruise Lines, Inc."	92
Carnival Elation	"Carnival Cruise Lines, Inc."	100
Carnival Fantasy	"Carnival Cruise Lines, Inc."	88
Carnival Fascination	"Carnival Cruise Lines, Inc."	98
Carnival Freedom	"Carnival Cruise Lines, Inc."	90
Carnival Glory	"Carnival Cruise Lines, Inc."	97
Carnival Imagination	"Carnival Cruise Lines, Inc."	89
Carnival Inspiration	"Carnival Cruise Lines, Inc."	100
Carnival Legend	"Carnival Cruise Lines, Inc."	96
Carnival Liberty	"Carnival Cruise Lines, Inc."	86
Carnival Magic	"Carnival Cruise Lines, Inc."	92
Carnival Miracle	"Carnival Cruise Lines, Inc."	93
Carnival Paradise	"Carnival Cruise Lines, Inc."	96
Carnival Pride	"Carnival Cruise Lines, Inc."	92
Carnival Sensation	"Carnival Cruise Lines, Inc."	92
Carnival Spirit	"Carnival Cruise Lines, Inc."	97
Carnival Splendor	"Carnival Cruise Lines, Inc."	91
Carnival Sunshine	"Carnival Cruise Lines, Inc."	92
Carnival Triumph	"Carnival Cruise Lines, Inc."	78
Carnival Valor	"Carnival Cruise Lines, Inc."	100
Carnival Victory	"Carnival Cruise Lines, Inc."	94
Carnival Vista	"Carnival Cruise Lines, Inc."	92
Celebrity Constellation	Celebrity Cruises	99
Celebrity Eclipse	Celebrity Cruises	100
Celebrity Equinox	Celebrity Cruises	92
Celebrity Infinity	Celebrity Cruises	100
Celebrity Millennium	Celebrity Cruises	98
Celebrity Reflection	Celebrity Cruises	100
Celebrity Silhouette	Celebrity Cruises	96
Celebrity Solstice	Celebrity Cruises	100
Celebrity Summit	Celebrity Cruises	95
Club Med 2	Club Med Marine	89
Coral Princess	Princess Cruises	95
Costa Atlantica	Costa Crociere S.P.A.	97
Costa Deliziosa	Costa Crociere S.P.A.	97
Costa Fortuna	Costa Crociere S.P.A.	93
Costa Luminosa	Costa Crociere S.P.A.	100
Costa Mediterranea	Costa Crociere S.P.A.	94
Crown Princess	Princess Cruises	93
Crystal Serenity	"Crystal Cruises , Inc."	99
Crystal Symphony	"Crystal Cruises , Inc."	90
Diamond Princess	Princess Cruises	98
Disney Dream	Disney Cruise Lines	95
Disney Fantasy	Disney Cruise Lines	99
Disney Magic	Disney Cruise Lines	100
Disney Wonder	Disney Cruise Lines	96
Emerald Princess	Princess Cruises	87
Empress of the Seas	Royal Caribbean International	94
Enchantment of the Seas	Royal Caribbean International	99
Eurodam	Holland America Line	100
Europa	Hapag Lloyd Kreuzfahrten Gmbh	90
Europa 2	Hapag Lloyd Kreuzfahrten Gmbh	90
Explorer of the Seas	Royal Caribbean International	97
Freedom of the Seas	Royal Caribbean International	86
Golden Princess	Princess Cruises	97
Grand Celebration	Bahamas Paradise Cruise Line	98
Grand Princess	Princess Cruises	90
Grande Caribe	Blount Small Ship Adventures	93
Grande Mariner	Blount Small Ship Adventures	95
