T	Year	Quarter	S&P500
1	2008	1	1322.703
2	2008	2	1280.001
3	2008	3	1166.361418
4	2008	4	903.25
5	2009	1	797.867
6	2009	2	919.32
7	2009	3	1057.0786
8	2009	4	1115.1
9	2010	1	1169.431193
10	2010	2	1030.710083
11	2010	3	1141.201157
12	2010	4	1257.635988
13	2011	1	1325.826718
14	2011	2	1320.639049
15	2011	3	1131.42036
16	2011	4	1257.604805
17	2012	1	1408.46786
18	2012	2	1362.158745
19	2012	3	1440.67
20	2012	4	1426.187978
21	2013	1	1569.185872
22	2013	2	1606.277608
23	2013	3	1681.546662
24	2013	4	1848.356521
25	2014	1	1872.335179
26	2014	2	1960.23124
27	2014	3	1972.285145
28	2014	4	2058.902379
29	2015	1	2067.887241
30	2015	2	2063.111832
31	2015	3	1920.026552
32	2015	4	2043.94
33	2016	1	2059.741177
34	2016	2	2098.855227
35	2016	3	2168.27209
36	2016	4	2238.83
37	2017	1	2362.71822
38	2017	2	2423.408891
39	2017	3	2519.359672
40	2017	4	2673.610523
