Property	Market_Val	Sale_Price
1	181.439	382
2	191.004	230
3	159.826	220
4	189.215	277
5	151.613	205
6	166.397	250
7	157.089	235
8	211.736	284
9	146.454	247.7
10	131.798	159
11	131.054	200
12	191.983	285
13	138.848	170
14	147.951	215
15	121.982	149
16	113.082	165
17	138.021	205
18	162.65	262.5
19	177.435	250
20	163.296	280
21	279.668	335
22	358.808	580
23	192.833	275
24	203.909	310
25	298.715	310
26	319.034	290
27	213.374	268
28	219.519	311.5
29	219.519	311.5
30	240.909	350
31	168.478	300
32	165.527	236
33	171.043	210
34	164.477	275
35	352.702	550
36	373.104	525
37	261.844	300
38	160.272	270
39	1262.274	1600
40	784.358	1225
41	676.699	1040
42	810.079	860
43	244.921	334
44	279.567	449
45	277.205	408
46	345.106	455
47	367.146	525
48	341.747	430
49	332.136	455
50	190.431	300
51	213.223	300
52	208.763	350
53	1072.134	1700
54	279.722	450
55	520.585	850
56	537.325	780
57	296.299	435
58	312.163	400
59	268.225	340
60	710.141	1000
61	599.191	862
62	762.975	1200
63	330.368	460
64	306.197	448
65	446.701	660
66	508.773	800
67	161.154	210
68	199.444	295
69	270.511	300
70	238.795	337.5
71	207.113	270
72	263.399	325
73	194.578	252
74	219.153	270
75	322.674	305
76	325.964	450
