Taster	Group	PSI	PHI-F	PHI-L	OJ	CC	PP	GF	BC
1	gLMS	66	68	-42	40	53	57	-32	-18
2	gLMS	39	64	-21	-7	-2	-22	-27	-49
3	gLMS	69	81	-28	20	16	-18	-46	22
4	gLMS	61	23	-98	46	19	55	-41	-92
5	gLMS	35	41	-46	-2	36	69	-51	9
6	gLMS	54	43	-64	-13	-3	-34	-32	-3
7	gLMS	40	52	-37	22	-37	-42	-24	-37
8	gLMS	57	29	-86	29	-36	4	-21	32
9	gLMS	86	47	-91	38	-3	19	-27	-43
10	gLMS	62	75	-28	12	24	33	2	-53
11	gLMS	34	40	-46	88	76	-5	26	-35
12	gLMS	58	85	-11	44	46	-8	-12	-20
13	gLMS	25	44	-32	80	49	32	-30	-40
14	gLMS	56	39	-70	-16	-39	33	-21	-18
15	gLMS	29	68	-4	33	64	6	-26	25
16	gLMS	35	48	-37	-17	-6	8	-30	-61
17	gLMS	59	40	-72	17	56	12	-65	-45
18	gLMS	71	55	-64	-3	60	8	-22	-52
19	gLMS	51	36	-70	58	31	4	22	-54
20	gLMS	64	54	-58	2	18	55	-52	-3
21	gLMS	66	58	-55	-15	-4	13	-14	10
22	gLMS	58	43	-69	28	1	59	-8	0
23	gLMS	55	61	-41	-13	-32	56	-16	18
24	gLMS	78	49	-81	74	64	33	-43	1
25	gLMS	48	42	-59	28	2	19	0	-14
26	gLMS	52	64	-34	24	9	-42	21	13
27	gLMS	47	42	-57	36	-8	-14	-26	-10
28	gLMS	63	45	-70	-11	32	-64	-7	-6
29	gLMS	65	51	-64	3	51	57	13	-84
30	gLMS	26	32	-49	26	26	9	-48	1
31	gLMS	28	54	-22	56	38	58	13	-33
32	gLMS	46	59	-34	11	-15	18	-4	28
33	gLMS	46	54	-40	28	7	32	-18	-3
34	gLMS	33	51	-31	1	71	-6	-36	-56
35	gLMS	58	98	6	11	-13	10	27	-40
36	gLMS	58	48	-60	10	34	-21	-11	-39
37	gLMS	49	58	-38	35	26	64	-3	-47
38	gLMS	77	51	-76	64	101	8	-48	-50
39	gLMS	48	62	-32	43	37	42	-47	-53
40	gLMS	25	13	-73	19	46	0	17	-13
41	gLMS	65	20	-100	25	27	29	-96	37
42	gLMS	56	63	-39	93	52	-34	-72	-29
43	gLMS	38	54	-33	-15	22	70	50	-53
44	gLMS	65	64	-46	37	50	-22	-25	12
45	gLMS	45	72	-15	63	-1	16	-67	-36
46	gLMS	58	48	-61	54	22	43	13	-2
47	gLMS	33	43	-43	42	37	51	42	-84
48	gLMS	62	57	-52	-15	-5	17	25	-18
49	gLMS	26	41	-38	6	33	51	-15	35
50	gLMS	69	29	-97	63	0	20	-57	-58
51	gLMS	38	50	-38	-27	28	61	-47	-14
52	gLMS	35	59	-23	50	47	37	-93	-67
53	gLMS	51	53	-47	-6	61	49	-10	-1
54	gLMS	63	69	-38	73	31	32	-46	-18
55	gLMS	49	37	-67	-25	-20	-1	4	-17
56	gLMS	40	29	-68	35	66	73	8	5
57	gLMS	45	49	-46	43	-11	-2	-49	31
58	gLMS	66	83	-22	79	77	85	-34	-23
59	gLMS	50	64	-31	31	30	62	-46	-64
60	gLMS	57	66	-35	7	9	13	-9	-26
61	gLMS	50	82	-7	55	46	110	-63	-33
62	gLMS	53	40	-67	72	26	7	-30	-82
63	gLMS	58	38	-75	23	40	13	-35	-95
64	gLMS	41	29	-68	7	-1	23	-8	-11
65	gLMS	30	57	-19	35	12	-17	2	-89
66	gLMS	83	87	-35	15	43	26	-12	-50
67	gLMS	61	61	-46	82	76	27	-19	-7
68	gLMS	56	41	-69	53	33	70	-13	-53
69	gLMS	37	34	-59	22	43	32	25	-5
70	gLMS	43	53	-39	34	-49	33	-80	-32
71	gLMS	20	30	-45	8	26	6	-5	2
72	gLMS	33	27	-63	-22	-5	-18	-12	5
73	gLMS	63	48	-67	28	42	18	-32	-51
74	gLMS	37	31	-62	45	21	-20	-21	-15
75	gLMS	52	39	-67	24	79	10	-12	-31
76	gLMS	30	56	-20	45	11	28	-52	-38
77	gLMS	37	46	-42	14	7	41	-10	5
78	gLMS	68	68	-45	22	89	0	0	-25
79	gLMS	42	39	-58	62	-14	15	-27	-81
80	gLMS	45	64	-27	66	10	28	-31	-26
81	gLMS	28	25	-60	10	33	20	-23	24
82	gLMS	56	35	-77	59	3	-6	-27	-29
83	gLMS	38	57	-28	61	31	25	-22	-8
84	gLMS	56	43	-66	34	-31	20	-35	-10
85	gLMS	29	41	-41	42	23	17	-23	19
86	gLMS	68	56	-61	83	54	18	34	-8
87	gLMS	67	45	-74	98	-14	49	-12	-23
88	gLMS	60	25	-94	45	25	35	9	-46
89	gLMS	60	42	-71	14	56	-3	30	-26
90	gLMS	49	51	-48	47	15	7	-19	6
91	gLMS	56	61	-41	34	26	60	-31	-56
92	gLMS	56	42	-67	52	90	37	-13	-19
93	gLMS	78	45	-86	33	91	62	-6	-46
94	gLMS	37	41	-49	18	40	8	3	6
95	gLMS	67	66	-46	46	14	6	-12	-54
96	gLMS	50	58	-40	44	55	29	3	-38
97	gLMS	48	47	-53	69	-16	27	-88	10
98	gLMS	28	44	-36	40	37	20	-9	-15
99	gLMS	58	46	-64	10	55	62	-1	-11
100	gLMS	53	81	-11	-4	-37	93	-25	-51
101	gLMS	49	50	-49	44	28	-3	-2	11
102	gLMS	46	60	-32	63	33	13	-26	-15
103	gLMS	84	64	-67	31	21	5	-56	-8
104	gLMS	43	64	-24	59	69	32	-9	-55
105	gLMS	86	72	-57	40	28	14	-22	12
106	gLMS	25	28	-54	12	-13	-46	-30	-39
107	gLMS	51	25	-85	61	37	-44	-28	4
108	gLMS	44	54	-38	45	65	52	8	-7
109	gLMS	65	64	-47	20	23	11	8	-51
110	gLMS	44	58	-33	52	41	38	-40	-72
111	gLMS	46	60	-32	10	-31	-22	-17	-44
112	gLMS	17	30	-42	68	32	-18	-16	-25
113	gLMS	51	66	-28	28	36	-42	-13	-39
114	gLMS	34	45	-40	40	4	42	-14	-71
115	gLMS	57	63	-39	22	55	77	-54	-73
116	gLMS	46	50	-45	42	30	51	-53	-66
117	gLMS	60	61	-45	53	8	-13	-75	-54
118	gLMS	62	50	-62	42	77	29	-27	-41
119	gLMS	32	47	-35	49	-37	-10	-41	-49
120	gLMS	33	50	-33	27	-22	28	-25	-12
121	gLMS	22	32	-46	40	25	34	-42	-23
122	gLMS	54	48	-57	25	25	6	-43	-1
123	gLMS	65	65	-45	61	26	-3	-43	-15
124	gLMS	29	41	-40	35	57	14	-88	10
125	gLMS	83	81	-42	27	56	3	-36	22
126	gLMS	58	31	-84	77	-21	63	-29	10
127	gLMS	46	52	-43	45	19	46	10	-22
128	gLMS	47	54	-42	-3	-21	-26	-37	-8
129	gLMS	57	46	-62	66	-10	41	-43	16
130	gLMS	67	65	-47	29	66	29	6	-14
131	gLMS	17	13	-66	55	-22	54	-4	-26
132	gLMS	49	31	-75	4	8	-1	-25	30
133	gLMS	10	23	-45	23	46	10	-63	-83
134	gLMS	59	42	-70	27	41	-46	-12	-33
135	gLMS	68	42	-79	-5	45	-15	16	12
136	gLMS	37	54	-31	32	-34	65	-26	13
137	gLMS	74	71	-47	14	-12	42	-18	-44
138	gLMS	32	36	-50	20	19	39	-3	-2
139	gLMS	42	54	-36	71	-13	39	19	-14
140	gLMS	47	56	-39	22	15	25	-17	36
141	gLMS	63	55	-56	13	7	60	16	-15
142	gLMS	27	59	-13	58	-1	24	-12	43
143	gLMS	60	49	-61	60	-5	9	-38	15
144	gLMS	54	53	-50	40	52	35	25	-57
145	gLMS	69	62	-53	-1	6	-21	-11	-18
146	gLMS	43	53	-38	49	38	36	-11	-51
147	gLMS	50	43	-59	67	4	11	4	-26
148	gLMS	48	31	-74	75	22	10	-12	-54
149	gLMS	51	33	-75	57	29	-4	-10	-33
150	gLMS	19	39	-32	37	-2	2	-29	49
151	gLMS	36	35	-55	47	15	-20	25	-39
152	gLMS	39	49	-39	-14	-4	-8	-79	-12
153	gLMS	46	47	-49	-1	13	62	-26	-28
154	gLMS	39	15	-86	93	17	50	-32	49
155	gLMS	55	44	-63	30	29	31	-40	-34
156	gLMS	32	26	-63	94	89	55	-10	-87
157	gLMS	40	56	-31	4	17	-2	-18	-20
158	gLMS	72	59	-60	24	38	45	-13	-49
159	gLMS	27	57	-17	48	41	28	33	-32
160	gLMS	42	31	-67	56	40	28	-35	-51
161	gLMS	42	49	-44	50	0	-2	-9	-12
162	gLMS	50	47	-54	40	1	-12	-4	11
163	gLMS	67	59	-56	70	23	-19	-38	17
164	gLMS	66	60	-54	-38	16	-23	-48	-7
165	gLMS	45	39	-59	33	-19	-43	-12	-28
166	gLMS	50	67	-27	38	-4	24	-8	-10
167	gLMS	47	39	-62	60	-16	68	-70	-25
168	gLMS	48	52	-45	57	71	-56	-48	-60
169	gLMS	57	83	-13	4	-5	5	-12	19
170	gLMS	75	54	-70	-45	23	51	-40	5
171	gLMS	70	61	-55	23	55	10	-59	12
172	gLMS	83	65	-64	36	11	10	-26	-38
173	gLMS	60	59	-48	35	59	31	7	-41
